id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
533,Dishonored,https://www.igdb.com/g/et,8.5013434439502,Main Game,"[""Oct 12, 2012 (Europe [EU])"", ""Oct 11, 2012 (Australia [AU])"", ""Oct 09, 2012 (North America [NA])"", ""Oct 12, 2012 (Europe [EU])"", ""Oct 11, 2012 (Australia [AU])"", ""Oct 09, 2012 (North America [NA])"", ""Oct 12, 2012 (Europe [EU])"", ""Oct 11, 2012 (Australia [AU])"", ""Oct 09, 2012 (North America [NA])""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Stealth""]","[""Arkane Studios"", ""Bethesda Softworks""]",""
2935,"Papers, Please",https://www.igdb.com/g/29j,8.17127743559109,Main Game,"[""Aug 05, 2022 (Worldwide [WW])"", ""Aug 08, 2013 (Worldwide [WW])"", ""Feb 12, 2014 (Worldwide [WW])"", ""Aug 08, 2013 (Worldwide [WW])"", ""Dec 12, 2014 (Worldwide [WW])"", ""Dec 12, 2017 (Worldwide [WW])""]","[""Android"", ""Linux"", ""Mac"", ""iOS"", ""PlayStation Vita"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Indie"", ""Point-and-click"", ""Puzzle"", ""Role-playing (RPG)"", ""Simulator""]","[""Fantasy"", ""Historical"", ""Thriller""]","[""Lucas Pope"", ""3909""]",""
1887,Dragon Age: Inquisition,https://www.igdb.com/g/1gf,8.34284569528148,Main Game,"[""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Tactical""]","[""Action"", ""Fantasy"", ""Historical""]","[""Electronic Arts"", ""BioWare Edmonton"", ""BioWare""]",""
11198,Rocket League,https://www.igdb.com/g/8n2,8.2609379419232,Main Game,"[""Jul 06, 2015 (Worldwide [WW])"", ""Aug 17, 2021 (Worldwide [WW])"", ""Feb 17, 2016 (North America [NA])"", ""Sep 08, 2016 (Worldwide [WW])"", ""Nov 10, 2020 (Worldwide [WW])"", ""Nov 14, 2017 (Worldwide [WW])"", ""Nov 04, 2015 (Japan [JP])"", ""Jun 24, 2016 (Europe [EU])"", ""Feb 17, 2016 (Worldwide [WW])"", ""Jul 07, 2015 (Worldwide [WW])"", ""Sep 08, 2016 (Worldwide [WW])"", ""Jul 05, 2016 (North America [NA])""]","[""Xbox One"", ""PlayStation 4"", ""Linux"", ""Mac"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Indie"", ""Racing"", ""Sport""]","[""Action"", ""Science fiction""]","[""Psyonix"", ""Panic Button Games""]",""
8173,Overwatch,https://www.igdb.com/g/6b1,8.29206456742288,Main Game,"[""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Shooter"", ""Strategy""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Blizzard Entertainment"", ""Square Enix""]",""
26758,Super Mario Odyssey,https://www.igdb.com/g/kna,8.95635302287014,Main Game,"[""Oct 27, 2017 (Worldwide [WW])""]","[""Nintendo Switch""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy"", ""Open world"", ""Sandbox""]","[""Nintendo"", ""1-UP Studio""]",""
26226,Celeste,https://www.igdb.com/g/k8i,8.81722932586134,Main Game,"[""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jul 28, 2020 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Linux"", ""Mac"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Google Stadia""]","[""Adventure"", ""Indie"", ""Platform""]","[""Action"", ""Fantasy""]","[""Maddy Makes Games"", ""Extremely OK Games""]",""
103329,Control,https://www.igdb.com/g/27q9,8.34446275847803,Main Game,"[""Oct 30, 2020 (Worldwide [WW])"", ""Feb 02, 2021 (Worldwide [WW])"", ""Jul 27, 2021 (Worldwide [WW])"", ""Aug 27, 2019 (Worldwide [WW])"", ""Aug 27, 2019 (Worldwide [WW])"", ""Aug 27, 2019 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Google Stadia""]","[""Adventure"", ""Shooter""]","[""Action"", ""Science fiction""]","[""505 Games"", ""Remedy Entertainment""]",""
113112,Hades,https://www.igdb.com/g/2fa0,9.22344314852117,Main Game,"[""Dec 10, 2019 (Worldwide [WW])"", ""Dec 10, 2019 (Worldwide [WW])"", ""Mar 17, 2021 (Europe [EU])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Jun 24, 2021 (Japan [JP])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Sep 17, 2020 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Mac"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Indie"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy""]","[""Supergiant Games""]",""
14741,Psychonauts 2,https://www.igdb.com/g/bdh,8.92625873680979,Main Game,"[""Aug 24, 2021 (Worldwide [WW])"", ""Aug 24, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Linux"", ""Mac"", ""PC (Microsoft Windows)"", ""Xbox Series X|S""]","[""Adventure"", ""Platform""]","[""Action"", ""Comedy""]","[""The Molasses Flood"", ""Xbox Game Studios"", ""Double Fine Productions""]",""
