id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
621,Call of Duty,https://www.igdb.com/g/h9,8.2562842163611,Main Game,"[""Oct 29, 2003 (North America [NA])"", ""Nov 07, 2003 (Europe [EU])"", ""2009 ()"", ""2009 ()"", ""May 2004 (North America [NA])""]","[""Xbox 360"", ""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Historical"", ""Warfare""]","[""Activision"", ""Infinity Ward""]",""
233,Half'-Life 2,https://www.igdb.com/g/6h,9.0905846258995,Main Game,"[""May 22, 2008 (Japan [JP])"", ""Oct 19, 2007 (Europe [EU])"", ""May 09, 2013 (Worldwide [WW])"", ""Dec 14, 2007 (Europe [EU])"", ""Dec 02, 2005 (Japan [JP])"", ""May 12, 2014 (Worldwide [WW])"", ""Nov 16, 2004 (North America [NA])"", ""Nov 18, 2005 (Europe [EU])"", ""Nov 16, 2004 (Europe [EU])"", ""Oct 25, 2007 (Australia [AU])"", ""Dec 20, 2007 (Australia [AU])"", ""May 26, 2010 (Worldwide [WW])"", ""Dec 11, 2007 (Asia [AS])"", ""Dec 11, 2007 (North America [NA])"", ""Oct 09, 2007 (Asia [AS])"", ""Nov 15, 2005 (North America [NA])"", ""Oct 10, 2007 (North America [NA])""]","[""Android"", ""Xbox 360"", ""Linux"", ""Mac"", ""Xbox"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction""]","[""Valve Corporation"", ""Sierra Entertainment"", ""NVIDIA Lightspeed Studios""]",""
1300,Tom Clancy's Ghost Recon Advanced Warfighter,https://www.igdb.com/g/104,6.64793470332219,Main Game,"[""Mar 09, 2006 (North America [NA])"", ""Mar 09, 2006 (North America [NA])"", ""May 03, 2006 (North America [NA])"", ""Mar 26, 2006 (North America [NA])"", ""Mar 31, 2006 (Europe [EU])"", ""Sep 28, 2006 (Japan [JP])"", ""Mar 07, 2012 (Europe [EU])"", ""Mar 17, 2006 (Europe [EU])"", ""Mar 10, 2006 (Europe [EU])"", ""Jun 29, 2006 (Japan [JP])"", ""May 05, 2006 (Europe [EU])"", ""Mar 28, 2006 (North America [NA])"", ""Jul 15, 2008 (Worldwide [WW])""]","[""Xbox 360"", ""PlayStation 2"", ""Xbox"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Shooter"", ""Tactical""]","[""Action"", ""Warfare""]","[""Darkworks"", ""Ubisoft Paris"", ""Ubisoft Shanghai"", ""Ubisoft Entertainment"", ""GRIN""]",""
20,BioShock,https://www.igdb.com/g/k,8.73446659209782,Main Game,"[""Oct 21, 2008 (North America [NA])"", ""Dec 25, 2008 (Japan [JP])"", ""Oct 17, 2008 (Europe [EU])"", ""Oct 07, 2009 ()"", ""Aug 27, 2014 ()"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])""]","[""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Historical"", ""Horror"", ""Science fiction""]","[""2K China"", ""2K Games"", ""2K Marin"", ""Feral Interactive"", ""Digital Extremes"", ""Demiurge Studios"", ""2K Australia"", ""2K Boston""]",""
1077,Super Mario Galaxy,https://www.igdb.com/g/tx,8.84389608114365,Main Game,"[""Feb 04, 2016 (Europe [EU])"", ""Nov 29, 2007 (Australia [AU])"", ""Nov 12, 2007 (North America [NA])"", ""Nov 16, 2007 (Europe [EU])"", ""Dec 23, 2015 (North America [NA])"", ""Feb 05, 2016 (Australia [AU])"", ""Nov 01, 2007 (Japan [JP])"", ""Sep 18, 2020 (Worldwide [WW])"", ""May 31, 2015 (Japan [JP])""]","[""Wii U"", ""Wii"", ""Nintendo Switch""]","[""Adventure"", ""Platform""]","[""Action""]","[""Nintendo"", ""Nintendo EAD""]",""
500,Batman: Arkham Asylum,https://www.igdb.com/g/dw,8.65831584778821,Main Game,"[""Sep 03, 2009 (Australia [AU])"", ""Aug 25, 2009 (North America [NA])"", ""Aug 25, 2009 (North America [NA])"", ""Aug 28, 2009 (Europe [EU])"", ""Jan 14, 2010 (Japan [JP])"", ""May 28, 2014 (Worldwide [WW])"", ""Sep 15, 2009 (North America [NA])"", ""Aug 28, 2009 (Europe [EU])"", ""Sep 18, 2009 (Europe [EU])"", ""Jan 14, 2010 (Japan [JP])"", ""Sep 18, 2009 (Australia [AU])"", ""Sep 03, 2009 (Australia [AU])"", ""Aug 31, 2009 (Asia [AS])""]","[""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Ouya""]","[""Adventure"", ""Hack and slash/Beat 'em up""]","[""Action"", ""Stealth""]","[""Eidos Interactive"", ""Playcast-media"", ""Rocksteady Studios"", ""Warner Bros. Interactive Entertainment""]",""
74,Mass Effect 2,https://www.igdb.com/g/22,9.15304195281763,Main Game,"[""Jan 26, 2010 (North America [NA])"", ""Jan 26, 2010 (North America [NA])"", ""Jan 18, 2011 (North America [NA])"", ""Jan 27, 2011 (Australia [AU])"", ""Jan 29, 2010 (Europe [EU])"", ""Jan 28, 2010 (Australia [AU])"", ""Jan 29, 2010 (Europe [EU])"", ""Jan 21, 2011 (Europe [EU])"", ""Jan 26, 2010 (North America [NA])"", ""Jan 28, 2010 (Australia [AU])""]","[""Xbox One"", ""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Role-playing (RPG)"", ""Shooter"", ""Simulator""]","[""Action"", ""Science fiction""]","[""Electronic Arts"", ""BioWare"", ""BioWare Edmonton"", ""BioWare Montreal""]",""
72,Portal 2,https://www.igdb.com/g/20,9.16560714579942,Main Game,"[""Apr 21, 2011 (Europe [EU])"", ""Apr 19, 2011 (North America [NA])"", ""Apr 19, 2011 (Worldwide [WW])"", ""Apr 19, 2011 (Europe [EU])"", ""Apr 19, 2011 (Worldwide [WW])"", ""Feb 26, 2014 (Worldwide [WW])"", ""Apr 21, 2011 (Australia [AU])"", ""Apr 21, 2011 (Australia [AU])""]","[""Xbox 360"", ""Linux"", ""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Platform"", ""Puzzle"", ""Shooter""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Valve Corporation"", ""Electronic Arts""]",""
533,Dishonored,https://www.igdb.com/g/et,8.50387380226395,Main Game,"[""Oct 09, 2012 ()"", ""Aug 25, 2015 (North America [NA])"", ""Aug 25, 2015 (North America [NA])"", ""Oct 09, 2012 (North America [NA])"", ""Oct 12, 2012 ()"", ""Oct 12, 2012 (Europe [EU])"", ""Oct 09, 2012 ()"", ""Oct 09, 2012 ()""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure""]","[""Action"", ""Stealth""]","[""Arkane Studios"", ""Bethesda Softworks""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.36719935353975,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment, Inc. (SCEI)"", ""Naughty Dog""]",""
