id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
20,BioShock,https://www.igdb.com/g/k,8.73446659209782,Main Game,"[""Oct 21, 2008 (North America [NA])"", ""Dec 25, 2008 (Japan [JP])"", ""Oct 17, 2008 (Europe [EU])"", ""Oct 07, 2009 ()"", ""Aug 27, 2014 ()"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])""]","[""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Historical"", ""Horror"", ""Science fiction""]","[""2K China"", ""2K Games"", ""2K Marin"", ""Feral Interactive"", ""Digital Extremes"", ""Demiurge Studios"", ""2K Australia"", ""2K Boston""]",""
122,Left 4 Dead,https://www.igdb.com/g/3e,8.08400309103553,Main Game,"[""Nov 18, 2008 ()"", ""Nov 18, 2008 ()"", ""Oct 27, 2010 ()""]","[""Xbox 360"", ""Mac"", ""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Horror"", ""Survival""]","[""Valve Corporation"", ""Certain Affinity"", ""Turtle Rock Studios""]",""
565,Uncharted 2: Among Thieves,https://www.igdb.com/g/fp,8.99001968071305,Main Game,"[""Oct 13, 2009 (North America [NA])"", ""Oct 15, 2009 (Japan [JP])"", ""Oct 16, 2009 (Europe [EU])"", ""Oct 15, 2009 (Australia [AU])""]","[""PlayStation 3""]","[""Adventure"", ""Platform"", ""Shooter""]","[""Action"", ""Fantasy"", ""Historical""]","[""Naughty Dog"", ""Sony Computer Entertainment, Inc. (SCEI)""]",""
1078,Super Mario Galaxy 2,https://www.igdb.com/g/ty,8.93446810686495,Main Game,"[""May 23, 2010 (North America [NA])"", ""Jan 15, 2015 (Japan [JP])"", ""Jun 11, 2010 (Europe [EU])"", ""Jan 13, 2015 (North America [NA])"", ""Jul 01, 2010 (Australia [AU])"", ""Jan 15, 2015 (Australia [AU])"", ""Jan 14, 2015 (Europe [EU])"", ""May 27, 2010 (Japan [JP])""]","[""Wii U"", ""Wii""]","[""Adventure"", ""Platform""]","[""Action""]","[""Nintendo"", ""Nintendo EAD""]",""
72,Portal 2,https://www.igdb.com/g/20,9.16560714579942,Main Game,"[""Apr 21, 2011 (Europe [EU])"", ""Apr 19, 2011 (North America [NA])"", ""Apr 19, 2011 (Worldwide [WW])"", ""Apr 19, 2011 (Europe [EU])"", ""Apr 19, 2011 (Worldwide [WW])"", ""Feb 26, 2014 (Worldwide [WW])"", ""Apr 21, 2011 (Australia [AU])"", ""Apr 21, 2011 (Australia [AU])""]","[""Xbox 360"", ""Linux"", ""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Platform"", ""Puzzle"", ""Shooter""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Valve Corporation"", ""Electronic Arts""]",""
1871,The Walking Dead: Season One,https://www.igdb.com/g/1fz,8.58905173639516,Main Game,"[""Oct 14, 2014 (North America [NA])"", ""Oct 31, 2014 (Europe [EU])"", ""Aug 22, 2013 (Worldwide [WW])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Aug 28, 2018 (Worldwide [WW])"", ""Apr 08, 2014 (Worldwide [WW])"", ""Apr 27, 2012 (Worldwide [WW])"", ""Apr 24, 2012 (North America [NA])"", ""Apr 25, 2012 (Europe [EU])"", ""Oct 14, 2014 (North America [NA])"", ""Jul 26, 2012 (Worldwide [WW])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Oct 31, 2014 (Europe [EU])""]","[""Android"", ""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation Vita"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Point-and-click""]","[""Action"", ""Drama"", ""Horror"", ""Survival""]","[""Telltale Games"", ""Sony Computer Entertainment, Inc. (SCEI)""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.36719935353975,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment, Inc. (SCEI)"", ""Naughty Dog""]",""
2135,Bayonetta 2,https://www.igdb.com/g/1nb,9.08191116214446,Main Game,"[""Feb 16, 2018 (Worldwide [WW])"", ""Feb 18, 2016 (North America [NA])"", ""Oct 25, 2014 (Australia [AU])"", ""Sep 20, 2014 (Japan [JP])"", ""Oct 24, 2014 (Europe [EU])""]","[""Wii U"", ""Nintendo Switch""]","[""Hack and slash/Beat 'em up""]","[""Action""]","[""Nintendo"", ""Platinum Games""]",""
7334,Bloodborne,https://www.igdb.com/g/5nq,9.10898183416848,Main Game,"[""Mar 27, 2015 (Europe [EU])"", ""Mar 24, 2015 (North America [NA])"", ""Mar 26, 2015 (Japan [JP])""]","[""PlayStation 4""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Horror""]","[""Sony Computer Entertainment, Inc. (SCEI)"", ""FromSoftware""]",""
8173,Overwatch,https://www.igdb.com/g/6b1,8.31874667081875,Main Game,"[""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Europe [EU])"", ""May 24, 2016 (North America [NA])"", ""May 24, 2016 (Worldwide [WW])"", ""Oct 15, 2019 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Shooter"", ""Strategy""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Blizzard Entertainment"", ""Square Enix""]",""
7346,The Legend of Zelda: Breath of the Wild,https://www.igdb.com/g/5o2,9.22267291730415,Main Game,"[""Mar 03, 2017 (Worldwide [WW])"", ""Mar 03, 2017 (Worldwide [WW])""]","[""Wii U"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Survival""]","[""Nintendo""]",""
19560,God of War,https://www.igdb.com/g/f3c,9.50291797035621,Main Game,"[""Apr 20, 2018 (Worldwide [WW])""]","[""PlayStation 4""]","[""Adventure"", ""Hack and slash/Beat 'em up""]","[""Action"", ""Fantasy"", ""Historical""]","[""Sony Interactive Entertainment"", ""SIE Santa Monica Studio""]",""
113114,The Outer Worlds,https://www.igdb.com/g/2fa2,8.21946465209627,Main Game,"[""TBD (Worldwide [WW])"", ""Oct 25, 2019 (Worldwide [WW])"", ""Oct 25, 2019 (Worldwide [WW])"", ""Oct 23, 2020 (North America [NA])"", ""Oct 25, 2019 (Worldwide [WW])"", ""Jun 05, 2020 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Science fiction""]","[""Private Division"", ""Obsidian Entertainment"", ""Virtuos""]",""
113112,Hades,https://www.igdb.com/g/2fa0,9.25338415206079,Main Game,"[""Aug 13, 2021 ()"", ""Aug 13, 2021 ()"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Jun 24, 2021 (Japan [JP])"", ""Sep 17, 2020 (Worldwide [WW])"", ""Sep 17, 2020 (Worldwide [WW])"", ""Sep 17, 2020 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Mac"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Indie"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy""]","[""Supergiant Games""]",""
