id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
1221,Kingdom Hearts II,https://www.igdb.com/g/xx,8.83558949754302,Main Game,"[""Dec 22, 2005 (Japan [JP])"", ""Sep 29, 2006 (Europe [EU])"", ""Sep 28, 2006 (Australia [AU])"", ""Mar 28, 2006 (North America [NA])""]","[""PlayStation 2""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Buena Vista Games"", ""Square Enix"", ""Sony Computer Entertainment Europe""]",""
974,Resident Evil 4,https://www.igdb.com/g/r2,8.73229968312678,Main Game,"[""Jan 27, 2005 (Japan [JP])"", ""Mar 18, 2005 (Europe [EU])"", ""Jan 11, 2005 (North America [NA])""]","[""Nintendo GameCube""]","[""Shooter""]","[""Action"", ""Horror"", ""Survival""]","[""Capcom"", ""Typhoon Games"", ""Capcom Production Studio 4""]",""
398,Final Fantasy XII,https://www.igdb.com/g/b2,8.52734129629292,Main Game,"[""Mar 16, 2006 (Japan [JP])"", ""Feb 23, 2007 (Europe [EU])"", ""Feb 22, 2007 (Australia [AU])"", ""Oct 31, 2006 (North America [NA])""]","[""PlayStation 2""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Sandbox""]","[""Square Enix""]",""
1560,Pokémon Diamond,https://www.igdb.com/g/17c,8.18396667795945,Main Game,"[""Jul 27, 2007 (Europe [EU])"", ""Sep 28, 2006 (Japan [JP])"", ""Apr 22, 2007 (North America [NA])"", ""Jun 21, 2007 (Australia [AU])""]","[""Nintendo DS""]","[""Adventure"", ""Role-playing (RPG)"", ""Sport"", ""Turn-based strategy (TBS)""]","[""Action"", ""Fantasy"", ""Kids"", ""Science fiction""]","[""Nintendo"", ""Game Freak""]",""
23066,Monster Hunter Freedom 2,https://www.igdb.com/g/hsq,7.67396034183151,Main Game,"[""Aug 28, 2007 (North America [NA])"", ""Sep 07, 2007 (Europe [EU])"", ""Sep 12, 2007 (Australia [AU])""]","[""PlayStation Portable""]","[""Racing"", ""Role-playing (RPG)"", ""Strategy""]","[""Action"", ""Fantasy"", ""Historical"", ""Sandbox""]","[""Capcom"", ""Capcom Production Studio 1""]",""
1077,Super Mario Galaxy,https://www.igdb.com/g/tx,8.84389608114365,Main Game,"[""Feb 04, 2016 (Europe [EU])"", ""Nov 29, 2007 (Australia [AU])"", ""Nov 12, 2007 (North America [NA])"", ""Nov 16, 2007 (Europe [EU])"", ""Dec 23, 2015 (North America [NA])"", ""Feb 05, 2016 (Australia [AU])"", ""Nov 01, 2007 (Japan [JP])"", ""Sep 18, 2020 (Worldwide [WW])"", ""May 31, 2015 (Japan [JP])""]","[""Wii U"", ""Wii"", ""Nintendo Switch""]","[""Adventure"", ""Platform""]","[""Action""]","[""Nintendo"", ""Nintendo EAD""]",""
20427,Monster Hunter Freedom Unite,https://www.igdb.com/g/frf,8.02159534674114,Main Game,"[""Jun 26, 2009 (North America [NA])"", ""May 08, 2014 (Japan [JP])"", ""Jun 26, 2009 (Europe [EU])"", ""Jul 02, 2014 (Europe [EU])"", ""Mar 27, 2008 (Japan [JP])"", ""Jun 25, 2009 (Australia [AU])""]","[""PlayStation Portable"", ""iOS""]","[""Role-playing (RPG)""]","[""Action"", ""Sandbox""]","[""Capcom"", ""Capcom Production Studio 1""]",""
1820,Dragon Quest IX: Sentinels of the Starry Skies,https://www.igdb.com/g/1ek,8.71454568758678,Main Game,"[""Jul 11, 2009 (Japan [JP])"", ""Aug 19, 2010 (Australia [AU])"", ""Jul 23, 2010 (Europe [EU])"", ""Jul 11, 2010 (North America [NA])""]","[""Nintendo DS""]","[""Role-playing (RPG)""]","[""Fantasy"", ""Sandbox""]","[""Level-5"", ""Square Enix"", ""Nintendo""]",""
42759,Monster Hunter Portable 3rd,https://www.igdb.com/g/wzr,7.98672808700609,Main Game,"[""Dec 01, 2010 (Japan [JP])""]","[""PlayStation Portable""]","[""Role-playing (RPG)""]","[""Action""]","[""Capcom""]",""
85616,Monster Hunter 3 G,https://www.igdb.com/g/1u28,,Main Game,"[""Dec 10, 2011 (Japan [JP])""]","[""Nintendo 3DS""]","[""Hack and slash/Beat 'em up""]","[""Action""]","[""Capcom""]",""
2687,Animal Crossing: New Leaf,https://www.igdb.com/g/22n,8.54330927262305,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 15, 2013 (Australia [AU])"", ""Nov 08, 2012 (Japan [JP])"", ""Jun 08, 2013 (North America [NA])""]","[""Nintendo 3DS""]","[""Simulator""]","[""Kids""]","[""Nintendo EAD Group No. 2"", ""Nintendo""]",""
65676,Monster Hunter 4,https://www.igdb.com/g/1eoc,7.17396963123644,Main Game,"[""Sep 14, 2013 (Japan [JP])""]","[""Nintendo 3DS""]",[],"[""Fantasy""]","[""Capcom""]",""
27129,Yo'-Kai Watch 2: Psychic Specters,https://www.igdb.com/g/kxl,8.8,Main Game,"[""Sep 28, 2017 (North America [NA])"", ""Sep 14, 2017 (Europe [EU])"", ""Dec 13, 2014 (Japan [JP])""]","[""Nintendo 3DS""]","[""Role-playing (RPG)""]","[""Fantasy"", ""Kids"", ""Open world""]","[""Level-5"", ""Nintendo""]",""
7335,Splatoon,https://www.igdb.com/g/5nr,8.29745141558548,Main Game,"[""May 28, 2015 (Japan [JP])"", ""May 29, 2015 (Europe [EU])"", ""May 30, 2015 (Australia [AU])"", ""May 29, 2015 (North America [NA])""]","[""Wii U""]","[""Platform"", ""Shooter"", ""Strategy""]","[""Action""]","[""Nintendo"", ""Nintendo EAD Group No. 2""]",""
18100,Pokémon Sun,https://www.igdb.com/g/dys,7.83603403097401,Main Game,"[""Nov 18, 2016 (North America [NA])"", ""Nov 23, 2016 (Europe [EU])"", ""Nov 18, 2016 (Worldwide [WW])""]","[""Nintendo 3DS""]","[""Adventure"", ""Role-playing (RPG)"", ""Strategy"", ""Turn-based strategy (TBS)""]","[""Party"", ""Science fiction""]","[""Nintendo"", ""The Pokémon Company"", ""Game Freak""]",""
7346,The Legend of Zelda: Breath of the Wild,https://www.igdb.com/g/5o2,9.22267291730415,Main Game,"[""Mar 03, 2017 (Worldwide [WW])"", ""Mar 03, 2017 (Worldwide [WW])""]","[""Wii U"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Survival""]","[""Nintendo""]",""
11667,Dragon Quest XI: Echoes of an Elusive Age,https://www.igdb.com/g/903,8.5775213928348,Main Game,"[""Sep 04, 2018 (Europe [EU])"", ""Sep 04, 2018 (North America [NA])"", ""Mar 16, 2021 (Worldwide [WW])"", ""Jul 29, 2017 (Japan [JP])"", ""Sep 04, 2018 (Europe [EU])"", ""Sep 04, 2018 (North America [NA])""]","[""PlayStation 4"", ""PC (Microsoft Windows)"", ""Google Stadia""]","[""Role-playing (RPG)""]","[""Fantasy"", ""Open world""]","[""Armor Project"", ""Square Enix"", ""Bird Studio""]",""
36926,Monster Hunter: World,https://www.igdb.com/g/shq,8.48510231824746,Main Game,"[""Jan 26, 2018 (Worldwide [WW])"", ""Aug 09, 2018 (Worldwide [WW])"", ""Jan 26, 2018 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action""]","[""Capcom""]",""
90101,Super Smash Bros. Ultimate,https://www.igdb.com/g/1xit,8.7473987524611,Main Game,"[""Dec 07, 2018 (Worldwide [WW])""]","[""Nintendo Switch""]","[""Fighting""]","[""Action"", ""Fantasy""]","[""Sora"", ""Bandai Namco Studios"", ""Nintendo""]",""
37382,Pokémon Sword,https://www.igdb.com/g/sue,7.34472959350089,Main Game,"[""Nov 15, 2019 (Worldwide [WW])""]","[""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Fantasy"", ""Open world""]","[""Game Freak"", ""Nintendo""]",""
109462,Animal Crossing: New Horizons,https://www.igdb.com/g/2cgm,8.26536256940622,Main Game,"[""Mar 20, 2020 (Worldwide [WW])""]","[""Nintendo Switch""]","[""Simulator""]",[],"[""Nintendo"", ""Nintendo EPD""]",""
