id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
125,Diablo,https://www.igdb.com/g/3h,8.42867684537338,Main Game,"[""1997 (Europe [EU])"", ""Dec 31, 1996 (North America [NA])"", ""Apr 1998 (Europe [EU])"", ""Jul 09, 1998 (Japan [JP])"", ""Apr 28, 1998 (Japan [JP])"", ""Mar 1998 (North America [NA])"", ""May 08, 1998 (North America [NA])""]","[""Mac"", ""PlayStation"", ""PC (Microsoft Windows)""]","[""Role-playing (RPG)"", ""Strategy""]","[""Action"", ""Fantasy"", ""Historical"", ""Horror""]","[""Electronic Arts"", ""Blizzard Entertainment"", ""Blizzard North"", ""Climax Group"", ""Sourcenext"", ""Square Electronic Arts""]",""
918,Total Annihilation,https://www.igdb.com/g/pi,8.23185419646391,Main Game,"[""Sep 30, 1997 ()"", ""Sep 30, 1997 ()""]","[""Mac"", ""PC (Microsoft Windows)""]","[""Real Time Strategy (RTS)"", ""Strategy""]","[""Science fiction""]","[""Cavedog Entertainment"", ""GT Interactive""]",""
1029,The Legend of Zelda: Ocarina of Time,https://www.igdb.com/g/sl,9.19465575853109,Main Game,"[""Jul 02, 2015 (Europe [EU])"", ""Nov 21, 1998 (Japan [JP])"", ""Nov 23, 1998 (North America [NA])"", ""Dec 11, 1998 (Europe [EU])"", ""Dec 18, 1998 (Australia [AU])"", ""Jul 02, 2015 (North America [NA])"", ""Feb 26, 2007 (North America [NA])"", ""Feb 23, 2007 (Europe [EU])"", ""Feb 27, 2007 (Japan [JP])""]","[""Wii U"", ""Wii"", ""Nintendo 64""]","[""Adventure"", ""Platform"", ""Puzzle"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Sandbox""]","[""Nintendo"", ""Nintendo EAD""]",""
181,Grim Fandango,https://www.igdb.com/g/51,8.6234741414546,Main Game,"[""Oct 28, 1998 ()""]","[""PC (Microsoft Windows)""]","[""Adventure"", ""Point-and-click"", ""Puzzle""]","[""Comedy""]","[""LucasArts""]",""
1564,SoulCalibur,https://www.igdb.com/g/17g,8.33637823202029,Main Game,"[""Sep 09, 1999 (North America [NA])"", ""1998 (Europe [EU])"", ""Jul 30, 1998 (Japan [JP])"", ""Nov 20, 2013 (Worldwide [WW])"", ""1998 (North America [NA])"", ""Jan 19, 2012 (Worldwide [WW])"", ""Aug 05, 1999 (Japan [JP])"", ""Dec 01, 1999 (Europe [EU])"", ""Jul 02, 2008 (Worldwide [WW])""]","[""Android"", ""Xbox 360"", ""iOS"", ""Dreamcast"", ""Arcade""]","[""Arcade"", ""Fighting""]","[""Action"", ""Fantasy"", ""Historical""]","[""Namco"", ""Project Soul"", ""Namco Bandai Games""]",""
282,EverQuest,https://www.igdb.com/g/7u,8.19821354527575,Main Game,"[""Apr 28, 2000 (Europe [EU])"", ""Mar 16, 1999 (North America [NA])"", ""Jun 24, 2003 (North America [NA])""]","[""Mac"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Sandbox""]","[""Verant Interactive"", ""989 Studios"", ""Sony Online Entertainment""]",""
1804,Chrono Cross,https://www.igdb.com/g/1e4,8.55854146905891,Main Game,"[""Aug 11, 2011 (North America [NA])"", ""Nov 18, 1999 (Japan [JP])"", ""Aug 15, 2000 (North America [NA])""]","[""PlayStation"", ""PlayStation 3""]","[""Role-playing (RPG)""]","[""Fantasy""]","[""Square""]",""
223,The Sims,https://www.igdb.com/g/67,8.00070079378228,Main Game,"[""Jan 15, 2003 (North America [NA])"", ""Feb 04, 2000 (North America [NA])"", ""Jul 25, 2000 (North America [NA])"", ""Mar 25, 2003 (North America [NA])"", ""Feb 28, 2000 (Europe [EU])"", ""Mar 31, 2000 (North America [NA])"", ""Feb 11, 2000 (Europe [EU])"", ""Aug 15, 2001 (Europe [EU])"", ""Mar 12, 2003 (North America [NA])"", ""Jan 31, 2003 (Europe [EU])"", ""Apr 04, 2003 (Europe [EU])"", ""Mar 25, 2003 (North America [NA])"", ""Apr 04, 2003 (Europe [EU])""]","[""PlayStation 2"", ""Linux"", ""Mac"", ""Nintendo GameCube"", ""Xbox"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)"", ""Simulator"", ""Strategy""]","[""Comedy"", ""Fantasy"", ""Romance"", ""Sandbox""]","[""Westlake Interactive"", ""Aspyr Media"", ""TransGaming Technologies"", ""Edge of Reality"", ""Electronic Arts"", ""Maxis""]",""
730,Grand Theft Auto III,https://www.igdb.com/g/ka,8.52257206090238,Main Game,"[""Aug 18, 2011 (Worldwide [WW])"", ""Nov 12, 2010 ()"", ""Dec 05, 2015 (Worldwide [WW])"", ""Dec 01, 2011 (Worldwide [WW])"", ""Dec 15, 2011 (Worldwide [WW])"", ""Oct 22, 2001 ()"", ""Oct 31, 2003 ()"", ""May 20, 2002 ()""]","[""Android"", ""PlayStation 4"", ""PlayStation 2"", ""Mac"", ""iOS"", ""Xbox"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Racing"", ""Shooter"", ""Simulator""]","[""Action"", ""Open world""]","[""Take-Two Interactive"", ""Rockstar Games"", ""Rockstar Vienna"", ""DMA Design""]",""
857,Serious Sam: The First Encounter,https://www.igdb.com/g/nt,7.96135447756967,Main Game,"[""Mar 01, 2001 ()"", ""Mar 01, 2001 ()"", ""Mar 01, 2001 ()"", ""Mar 01, 2001 ()""]","[""Xbox 360"", ""Linux"", ""Xbox"", ""PC (Microsoft Windows)""]","[""Indie"", ""Shooter""]","[""Action"", ""Science fiction""]","[""Croteam"", ""Gathering of Developers""]",""
