id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
1036,The Legend of Zelda: Twilight Princess,https://www.igdb.com/g/ss,8.58103259886345,Main Game,"[""Dec 02, 2006 (Japan [JP])"", ""Dec 08, 2006 (Europe [EU])"", ""Dec 19, 2006 (Australia [AU])"", ""Nov 19, 2006 (North America [NA])""]","[""Nintendo GameCube""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Nintendo"", ""Nintendo EAD Group No. 3""]",""
339,The Orange Box,https://www.igdb.com/g/9f,9.06695766633048,Bundle,"[""Dec 14, 2007 (Europe [EU])"", ""Dec 11, 2007 (North America [NA])"", ""Dec 11, 2007 ()"", ""Oct 10, 2007 ()"", ""Oct 10, 2007 ()"", ""Oct 10, 2007 ()""]","[""Xbox 360"", ""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Puzzle"", ""Shooter""]",[],"[""Valve Corporation"", ""EA UK""]",""
15,Fallout 3,https://www.igdb.com/g/f,8.37554325283349,Main Game,"[""Oct 31, 2008 (Europe [EU])"", ""Jan 15, 2009 (Japan [JP])"", ""Oct 28, 2008 (North America [NA])"", ""Oct 28, 2008 (North America [NA])"", ""Oct 28, 2008 ()"", ""Oct 28, 2008 ()""]","[""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Sandbox"", ""Science fiction"", ""Survival""]","[""Bethesda Game Studios"", ""Bethesda Softworks""]",""
500,Batman: Arkham Asylum,https://www.igdb.com/g/dw,8.65730120894307,Main Game,"[""Sep 03, 2009 (Australia [AU])"", ""Aug 25, 2009 (North America [NA])"", ""Aug 25, 2009 (North America [NA])"", ""Aug 28, 2009 (Europe [EU])"", ""Jan 14, 2010 (Japan [JP])"", ""May 28, 2014 (Worldwide [WW])"", ""Sep 15, 2009 (North America [NA])"", ""Aug 28, 2009 (Europe [EU])"", ""Sep 18, 2009 (Europe [EU])"", ""Jan 14, 2010 (Japan [JP])"", ""Sep 18, 2009 (Australia [AU])"", ""Sep 03, 2009 (Australia [AU])"", ""Aug 31, 2009 (Asia [AS])""]","[""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Ouya""]","[""Adventure"", ""Hack and slash/Beat 'em up""]","[""Action"", ""Stealth""]","[""Eidos Interactive"", ""Playcast-media"", ""Rocksteady Studios"", ""Warner Bros. Interactive Entertainment""]",""
434,Red Dead Redemption,https://www.igdb.com/g/c2,8.97075276117169,Main Game,"[""Oct 07, 2010 (Japan [JP])"", ""May 21, 2010 (Europe [EU])"", ""May 18, 2010 (North America [NA])"", ""May 21, 2010 (Europe [EU])"", ""May 18, 2010 (North America [NA])""]","[""Xbox 360"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Sandbox""]","[""Rockstar Games"", ""Rockstar North"", ""Take-Two Interactive"", ""Rockstar San Diego""]",""
72,Portal 2,https://www.igdb.com/g/20,9.16560714579942,Main Game,"[""Apr 21, 2011 (Europe [EU])"", ""Apr 19, 2011 (North America [NA])"", ""Apr 19, 2011 (Worldwide [WW])"", ""Apr 19, 2011 (Europe [EU])"", ""Apr 19, 2011 (Worldwide [WW])"", ""Feb 26, 2014 (Worldwide [WW])"", ""Apr 21, 2011 (Australia [AU])"", ""Apr 21, 2011 (Australia [AU])""]","[""Xbox 360"", ""Linux"", ""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Platform"", ""Puzzle"", ""Shooter""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Valve Corporation"", ""Electronic Arts""]",""
1871,The Walking Dead: Season One,https://www.igdb.com/g/1fz,8.58905173639516,Main Game,"[""Oct 14, 2014 (North America [NA])"", ""Oct 31, 2014 (Europe [EU])"", ""Aug 22, 2013 (Worldwide [WW])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Aug 28, 2018 (Worldwide [WW])"", ""Apr 08, 2014 (Worldwide [WW])"", ""Apr 27, 2012 (Worldwide [WW])"", ""Apr 24, 2012 (North America [NA])"", ""Apr 25, 2012 (Europe [EU])"", ""Oct 14, 2014 (North America [NA])"", ""Jul 26, 2012 (Worldwide [WW])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Oct 31, 2014 (Europe [EU])""]","[""Android"", ""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation Vita"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Point-and-click""]","[""Action"", ""Drama"", ""Horror"", ""Survival""]","[""Telltale Games"", ""Sony Computer Entertainment, Inc. (SCEI)""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.36719935353975,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment, Inc. (SCEI)"", ""Naughty Dog""]",""
1939,Destiny,https://www.igdb.com/g/1hv,7.18706163060261,Main Game,"[""Sep 09, 2014 (Worldwide [WW])"", ""Sep 09, 2014 (Worldwide [WW])"", ""Sep 09, 2014 (Worldwide [WW])"", ""Sep 09, 2014 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PlayStation 3""]","[""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Science fiction"", ""Warfare""]","[""Activision"", ""ND Games"", ""Bungie""]",""
1985,Metal Gear Solid V: The Phantom Pain,https://www.igdb.com/g/1j5,8.55926773899244,Main Game,"[""Sep 01, 2015 (Europe [EU])"", ""Sep 01, 2015 (Australia [AU])"", ""Sep 01, 2015 (Europe [EU])"", ""Sep 01, 2015 (North America [NA])"", ""Sep 01, 2015 (North America [NA])"", ""Sep 01, 2015 (North America [NA])"", ""Sep 15, 2015 (Worldwide [WW])"", ""Sep 01, 2015 (Worldwide [WW])"", ""Sep 01, 2015 (Worldwide [WW])"", ""Sep 01, 2015 (Worldwide [WW])"", ""Sep 01, 2015 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Shooter"", ""Tactical""]","[""Action"", ""Fantasy"", ""Historical"", ""Open world"", ""Stealth""]","[""Konami"", ""Kojima Productions""]",""
