id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
529,Far Cry 3,https://www.igdb.com/g/ep,8.35831948172898,Main Game,"[""Nov 28, 2012 ()"", ""Nov 28, 2012 ()"", ""Dec 04, 2012 (North America [NA])"", ""Nov 30, 2012 (Europe [EU])"", ""Nov 28, 2012 ()""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Open world"", ""Sandbox"", ""Stealth"", ""Survival""]","[""Ubisoft Montreal"", ""Massive Entertainment - A Ubisoft Studio"", ""Ubisoft Shanghai""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.32168357470949,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment"", ""Naughty Dog""]",""
1887,Dragon Age: Inquisition,https://www.igdb.com/g/1gf,8.34284569528148,Main Game,"[""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Tactical""]","[""Action"", ""Fantasy"", ""Historical""]","[""Electronic Arts"", ""BioWare Edmonton"", ""BioWare""]",""
6707,Tales from the Borderlands,https://www.igdb.com/g/56b,8.54447264073973,Main Game,"[""Nov 25, 2014 (Worldwide [WW])"", ""Mar 23, 2021 (Europe [EU])"", ""Mar 23, 2021 (North America [NA])"", ""Nov 25, 2014 (North America [NA])"", ""Mar 24, 2021 (Worldwide [WW])"", ""Nov 25, 2014 (Worldwide [WW])"", ""Nov 26, 2014 (Worldwide [WW])"", ""Dec 03, 2014 (Europe [EU])"", ""Nov 25, 2014 (North America [NA])"", ""Dec 17, 2014 ()"", ""Mar 17, 2015 (North America [NA])"", ""Nov 25, 2014 (North America [NA])"", ""Dec 03, 2014 (Worldwide [WW])"", ""Dec 03, 2014 (Europe [EU])"", ""Dec 11, 2014 (Worldwide [WW])""]","[""Android"", ""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""Mac"", ""iOS"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 3""]","[""Adventure"", ""Point-and-click""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Take-Two Interactive"", ""Telltale Games""]",""
12597,Owlboy,https://www.igdb.com/g/9px,8.00686224729713,Main Game,"[""Nov 01, 2016 (Worldwide [WW])"", ""Nov 01, 2016 (Worldwide [WW])"", ""Feb 13, 2018 (Worldwide [WW])"", ""Apr 10, 2018 (Worldwide [WW])"", ""Nov 01, 2016 (Worldwide [WW])"", ""Apr 10, 2018 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Linux"", ""Mac"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Indie"", ""Platform"", ""Puzzle""]","[""Action"", ""Fantasy"", ""Science fiction""]","[""SOEDESCO Publishing"", ""D-Pad Studio""]",""
11208,NieR: Automata,https://www.igdb.com/g/8nc,9.12417748366027,Main Game,"[""Apr 27, 2017 (Asia [AS])"", ""Apr 27, 2017 (Asia [AS])"", ""Mar 17, 2017 (Worldwide [WW])"", ""Feb 23, 2017 (Japan [JP])"", ""Mar 10, 2017 (New Zealand [NZ])"", ""Mar 10, 2017 (Australia [AU])"", ""Mar 10, 2017 (Europe [EU])"", ""Mar 07, 2017 (North America [NA])""]","[""PlayStation 4"", ""PC (Microsoft Windows)""]","[""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world"", ""Science fiction""]","[""ILCA"", ""PlatinumGames"", ""Square Enix""]",""
19560,God of War,https://www.igdb.com/g/f3c,9.44363636493894,Main Game,"[""Jan 14, 2022 (Worldwide [WW])"", ""Apr 20, 2018 (Worldwide [WW])""]","[""PlayStation 4"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Historical""]","[""Jetpack Interactive"", ""Sony Interactive Entertainment"", ""SIE Santa Monica Studio""]",""
19686,Resident Evil 2,https://www.igdb.com/g/f6u,8.82053237773216,Remake,"[""Jun 13, 2022 (Worldwide [WW])"", ""Jun 13, 2022 (Worldwide [WW])"", ""Jan 25, 2019 (Worldwide [WW])"", ""Jan 25, 2019 (Worldwide [WW])"", ""Jan 25, 2019 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Xbox Series X|S""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Survival""]","[""K2"", ""Capcom Development Division 1"", ""Capcom""]",""
75235,Ghost of Tsushima,https://www.igdb.com/g/1m1v,8.98322806506705,Main Game,"[""Jul 17, 2020 (Worldwide [WW])""]","[""PlayStation 4""]","[""Adventure"", ""Hack and slash/Beat 'em up""]","[""Action"", ""Drama"", ""Historical"", ""Open world"", ""Stealth""]","[""Sony Interactive Entertainment"", ""Sucker Punch Productions""]",""
134582,Ratchet & Clank: Rift Apart,https://www.igdb.com/g/2vue,8.96951824730231,Main Game,"[""Jun 11, 2021 (Worldwide [WW])""]","[""PlayStation 5""]","[""Adventure"", ""Platform"", ""Shooter""]","[""Action"", ""Science fiction""]","[""Sony Interactive Entertainment"", ""Insomniac Games""]",""
112875,God of War Ragnarök,https://www.igdb.com/g/2f3f,9.7199900040789,Main Game,"[""Nov 09, 2022 (Worldwide [WW])"", ""Nov 09, 2022 (Worldwide [WW])""]","[""PlayStation 4"", ""PlayStation 5""]","[""Adventure"", ""Hack and slash/Beat 'em up""]","[""Action"", ""Fantasy"", ""Historical"", ""Open world""]","[""SuperAlloy Interactive"", ""Supergenius Studio"", ""Original Force"", ""RedHot Software"", ""Bluepoint Games"", ""Jetpack Interactive"", ""Valkyrie Entertainment"", ""SIE Santa Monica Studio"", ""Sony Interactive Entertainment""]",""
