id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
71399,Sakura Taisen,https://www.igdb.com/g/1j3b,,Main Game,"[""Sep 27, 1996 (Japan [JP])""]","[""Sega Saturn""]",[],[],[],""
427,Final Fantasy VII,https://www.igdb.com/g/bv,9.044441700328,Main Game,"[""Jun 25, 1998 (Europe [EU])"", ""Jan 31, 1997 (Japan [JP])"", ""Jun 24, 1998 (North America [NA])"", ""Mar 26, 2019 (North America [NA])"", ""Dec 05, 2015 (Worldwide [WW])"", ""Nov 17, 1997 (Europe [EU])"", ""Sep 07, 1997 (North America [NA])""]","[""PlayStation 4"", ""PlayStation"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Fantasy"", ""Science fiction""]","[""Sony Computer Entertainment"", ""Square Enix"", ""Square"", ""Eidos Interactive""]",""
1029,The Legend of Zelda: Ocarina of Time,https://www.igdb.com/g/sl,9.19465575853109,Main Game,"[""Jul 02, 2015 (Europe [EU])"", ""Nov 21, 1998 (Japan [JP])"", ""Nov 23, 1998 (North America [NA])"", ""Dec 11, 1998 (Europe [EU])"", ""Dec 18, 1998 (Australia [AU])"", ""Jul 02, 2015 (North America [NA])"", ""Feb 26, 2007 (North America [NA])"", ""Feb 23, 2007 (Europe [EU])"", ""Feb 27, 2007 (Japan [JP])""]","[""Wii U"", ""Wii"", ""Nintendo 64""]","[""Adventure"", ""Platform"", ""Puzzle"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Sandbox""]","[""Nintendo"", ""Nintendo EAD""]",""
72565,Doko Demo Issho,https://www.igdb.com/g/1jzp,,Main Game,[],[],"[""Puzzle""]",[],[],""
425,Final Fantasy VIII,https://www.igdb.com/g/bt,8.24082716380688,Main Game,"[""Feb 11, 1999 (Japan [JP])"", ""Oct 27, 1999 (Europe [EU])"", ""Dec 31, 1999 (North America [NA])"", ""Dec 05, 2013 (North America [NA])"", ""Dec 05, 2013 (Europe [EU])"", ""May 08, 2014 (Japan [JP])"", ""Dec 12, 2013 (Asia [AS])"", ""Feb 04, 2010 (Europe [EU])"", ""Sep 24, 2009 (Japan [JP])"", ""Sep 09, 1999 (North America [NA])"", ""Oct 29, 1999 (Australia [AU])"", ""Feb 18, 2000 (Europe [EU])"", ""Mar 23, 2000 (Japan [JP])"", ""Dec 17, 2009 (North America [NA])""]","[""PlayStation"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)""]","[""Fantasy"", ""Open world"", ""Science fiction""]","[""Square"", ""Square Electronic Arts"", ""SCE Australia"", ""Eidos Interactive"", ""Square Enix""]",""
21968,Phantasy Star Online,https://www.igdb.com/g/gy8,8.00782956389727,Main Game,"[""Feb 23, 2001 (Europe [EU])"", ""Jan 29, 2001 (North America [NA])"", ""Dec 21, 2000 (Japan [JP])""]","[""Dreamcast""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Science fiction""]","[""Sonic Team"", ""Sega""]",""
418,Final Fantasy X,https://www.igdb.com/g/bm,8.72036432089369,Main Game,"[""Jul 19, 2001 (Japan [JP])"", ""Dec 17, 2001 (North America [NA])""]","[""PlayStation 2""]","[""Adventure"", ""Role-playing (RPG)""]","[""Fantasy"", ""Science fiction""]","[""Square Electronic Arts"", ""Square""]",""
411,Final Fantasy XI Online,https://www.igdb.com/g/bf,8.02668891087429,Main Game,"[""Nov 07, 2002 (Japan [JP])"", ""Oct 28, 2003 (North America [NA])"", ""Sep 17, 2004 (Europe [EU])"", ""May 16, 2002 (Japan [JP])"", ""Mar 23, 2004 (North America [NA])"", ""Apr 18, 2006 (North America [NA])"", ""Apr 20, 2006 (Japan [JP])"", ""Apr 21, 2006 (Europe [EU])"", ""Apr 19, 2013 (Worldwide [WW])""]","[""Xbox 360"", ""PlayStation 2"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Sony Computer Entertainment, Inc. (SCEI)"", ""Square"", ""Square Enix""]",""
85872,Taiko no Tatsujin Arcade,https://www.igdb.com/g/1u9c,,Main Game,"[""Feb 21, 2001 (Japan [JP])""]","[""Arcade""]","[""Arcade"", ""Music""]","[""Action""]","[""Namco""]",""
69721,Monster Hunter,https://www.igdb.com/g/1hsp,6.01575401812598,Main Game,"[""Jun 01, 2005 (Australia [AU])"", ""May 27, 2005 (Europe [EU])"", ""Mar 11, 2004 (Japan [JP])"", ""Sep 21, 2004 (North America [NA])""]","[""PlayStation 2""]","[""Role-playing (RPG)""]","[""Action"", ""Sandbox""]",[],""
