id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
472,The Elder Scrolls V: Skyrim,https://www.igdb.com/g/d4,8.75523215555553,Main Game,"[""Nov 10, 2011 (Worldwide [WW])"", ""Nov 10, 2011 (North America [NA])"", ""Dec 08, 2011 (Japan [JP])"", ""Dec 08, 2011 (Japan [JP])"", ""Dec 08, 2011 (Japan [JP])"", ""Nov 11, 2011 (Worldwide [WW])"", ""Nov 11, 2011 (North America [NA])"", ""Nov 11, 2011 (Europe [EU])"", ""Nov 11, 2011 (Worldwide [WW])""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Stealth""]","[""Bethesda Game Studios"", ""Bethesda Softworks""]",""
1871,The Walking Dead: Season One,https://www.igdb.com/g/1fz,8.59320655215656,Main Game,"[""Oct 14, 2014 (North America [NA])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Oct 31, 2014 (Europe [EU])"", ""Aug 22, 2013 (Worldwide [WW])"", ""Oct 31, 2014 (Europe [EU])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Jul 26, 2012 (Worldwide [WW])"", ""Oct 14, 2014 (North America [NA])"", ""Apr 25, 2012 (Europe [EU])"", ""Apr 24, 2012 (North America [NA])"", ""Apr 27, 2012 (Worldwide [WW])"", ""Apr 08, 2014 (Worldwide [WW])"", ""Aug 28, 2018 (Worldwide [WW])""]","[""Android"", ""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation Vita"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 3""]","[""Adventure"", ""Point-and-click"", ""Shooter""]","[""Action"", ""Drama"", ""Horror"", ""Survival""]","[""Sony Computer Entertainment"", ""Telltale Games""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.32168357470949,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment"", ""Naughty Dog""]",""
2031,Wolfenstein: The New Order,https://www.igdb.com/g/1kf,8.19537679117493,Main Game,"[""May 20, 2014 (North America [NA])"", ""May 20, 2014 (Worldwide [WW])"", ""May 20, 2014 (North America [NA])"", ""May 20, 2014 (North America [NA])"", ""Jun 05, 2014 (Japan [JP])"", ""May 20, 2014 (North America [NA])"", ""May 20, 2014 (Europe [EU])"", ""Jun 05, 2014 (Japan [JP])"", ""Jun 05, 2014 (Japan [JP])"", ""Jun 05, 2014 (Japan [JP])"", ""Jun 05, 2014 (Japan [JP])"", ""May 20, 2014 (Worldwide [WW])"", ""May 20, 2014 (Worldwide [WW])"", ""May 20, 2014 (Worldwide [WW])"", ""May 20, 2014 (Worldwide [WW])"", ""May 20, 2014 (Europe [EU])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Fantasy"", ""Historical"", ""Science fiction"", ""Stealth"", ""Warfare""]","[""Bethesda Softworks"", ""MachineGames""]",""
1942,The Witcher 3: Wild Hunt,https://www.igdb.com/g/1hy,9.47932427294898,Main Game,"[""Dec 14, 2022 (Worldwide [WW])"", ""Dec 14, 2022 (Worldwide [WW])"", ""Jan 28, 2021 ()"", ""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world""]","[""Saber Interactive"", ""WB Games"", ""cdp.pl"", ""Spike ChunSoft"", ""Bandai Namco Entertainment"", ""CD Projekt RED"", ""D3T Limited""]",""
7331,Uncharted 4: A Thief's End,https://www.igdb.com/g/5nn,9.15859601741543,Main Game,"[""May 10, 2016 (Worldwide [WW])""]","[""PlayStation 4""]","[""Adventure"", ""Shooter""]","[""Action"", ""Fantasy"", ""Historical""]","[""Sony Interactive Entertainment"", ""Naughty Dog""]",""
7346,The Legend of Zelda: Breath of the Wild,https://www.igdb.com/g/5o2,9.22651379659513,Main Game,"[""Mar 03, 2017 (Worldwide [WW])"", ""Mar 03, 2017 (Worldwide [WW])""]","[""Wii U"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Survival""]","[""Nintendo""]",""
19560,God of War,https://www.igdb.com/g/f3c,9.44363636493894,Main Game,"[""Jan 14, 2022 (Worldwide [WW])"", ""Apr 20, 2018 (Worldwide [WW])""]","[""PlayStation 4"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Historical""]","[""Jetpack Interactive"", ""Sony Interactive Entertainment"", ""SIE Santa Monica Studio""]",""
113114,The Outer Worlds,https://www.igdb.com/g/2fa2,7.91374756014396,Main Game,"[""Oct 25, 2019 (Worldwide [WW])"", ""Feb 10, 2021 (Europe [EU])"", ""Oct 23, 2020 (North America [NA])"", ""Oct 25, 2019 (Worldwide [WW])"", ""Oct 25, 2019 (Worldwide [WW])"", ""Jun 05, 2020 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Science fiction""]","[""Private Division"", ""Obsidian Entertainment"", ""Virtuos""]",""
113112,Hades,https://www.igdb.com/g/2fa0,9.22344314852117,Main Game,"[""Dec 10, 2019 (Worldwide [WW])"", ""Dec 10, 2019 (Worldwide [WW])"", ""Mar 17, 2021 (Europe [EU])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Jun 24, 2021 (Japan [JP])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Sep 17, 2020 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Mac"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Indie"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy""]","[""Supergiant Games""]",""
14741,Psychonauts 2,https://www.igdb.com/g/bdh,8.92625873680979,Main Game,"[""Aug 24, 2021 (Worldwide [WW])"", ""Aug 24, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])"", ""Aug 25, 2021 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Linux"", ""Mac"", ""PC (Microsoft Windows)"", ""Xbox Series X|S""]","[""Adventure"", ""Platform""]","[""Action"", ""Comedy""]","[""The Molasses Flood"", ""Xbox Game Studios"", ""Double Fine Productions""]",""
