id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
1871,The Walking Dead: Season One,https://www.igdb.com/g/1fz,8.59320655215656,Main Game,"[""Oct 14, 2014 (North America [NA])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Oct 31, 2014 (Europe [EU])"", ""Aug 22, 2013 (Worldwide [WW])"", ""Oct 31, 2014 (Europe [EU])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Jul 26, 2012 (Worldwide [WW])"", ""Oct 14, 2014 (North America [NA])"", ""Apr 25, 2012 (Europe [EU])"", ""Apr 24, 2012 (North America [NA])"", ""Apr 27, 2012 (Worldwide [WW])"", ""Apr 08, 2014 (Worldwide [WW])"", ""Aug 28, 2018 (Worldwide [WW])""]","[""Android"", ""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation Vita"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 3""]","[""Adventure"", ""Point-and-click"", ""Shooter""]","[""Action"", ""Drama"", ""Horror"", ""Survival""]","[""Sony Computer Entertainment"", ""Telltale Games""]",""
1906,Gone Home,https://www.igdb.com/g/1gy,7.44959339355242,Main Game,"[""Aug 15, 2013 (Worldwide [WW])"", ""Aug 15, 2013 (Worldwide [WW])"", ""Aug 15, 2013 (Worldwide [WW])"", ""Sep 06, 2018 (North America [NA])"", ""Dec 11, 2018 (Worldwide [WW])"", ""Sep 06, 2018 (Europe [EU])""]","[""Linux"", ""Mac"", ""iOS"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Indie"", ""Point-and-click""]","[""Action"", ""Drama"", ""Mystery""]","[""Midnight City"", ""Annapurna Interactive"", ""Fullbright""]",""
1887,Dragon Age: Inquisition,https://www.igdb.com/g/1gf,8.34284569528148,Main Game,"[""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Tactical""]","[""Action"", ""Fantasy"", ""Historical""]","[""Electronic Arts"", ""BioWare Edmonton"", ""BioWare""]",""
11346,Her Story,https://www.igdb.com/g/8r6,7.89098063332172,Main Game,"[""Jun 24, 2015 (North America [NA])"", ""Jun 24, 2015 (Worldwide [WW])"", ""Jun 29, 2016 ()"", ""Jun 24, 2015 (Worldwide [WW])"", ""Jun 24, 2015 (Worldwide [WW])"", ""Jun 24, 2015 (Worldwide [WW])""]","[""Android"", ""Linux"", ""Mac"", ""iOS"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Indie"", ""Point-and-click"", ""Puzzle"", ""Simulator""]","[""Drama""]","[""Sam Barlow""]",""
76217,DOOM,https://www.igdb.com/g/1mt5,8.04450517626812,Port,"[""Nov 10, 2017 (Worldwide [WW])""]","[""Nintendo Switch""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction"", ""Survival""]","[""Bethesda Softworks"", ""id Software""]",""
7346,The Legend of Zelda: Breath of the Wild,https://www.igdb.com/g/5o2,9.22651379659513,Main Game,"[""Mar 03, 2017 (Worldwide [WW])"", ""Mar 03, 2017 (Worldwide [WW])""]","[""Wii U"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Survival""]","[""Nintendo""]",""
19560,God of War,https://www.igdb.com/g/f3c,9.44363636493894,Main Game,"[""Jan 14, 2022 (Worldwide [WW])"", ""Apr 20, 2018 (Worldwide [WW])""]","[""PlayStation 4"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Historical""]","[""Jetpack Interactive"", ""Sony Interactive Entertainment"", ""SIE Santa Monica Studio""]",""
11737,Outer Wilds,https://www.igdb.com/g/921,9.05709497907363,Main Game,"[""Sep 15, 2022 (Worldwide [WW])"", ""Sep 15, 2022 (Worldwide [WW])"", ""TBD (Worldwide [WW])"", ""Jun 18, 2020 (North America [NA])"", ""May 28, 2019 (Worldwide [WW])"", ""Oct 15, 2019 (Worldwide [WW])"", ""May 29, 2019 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Indie"", ""Puzzle"", ""Simulator"", ""Strategy""]","[""Action"", ""Mystery"", ""Open world"", ""Science fiction""]","[""Mobius Digital"", ""Annapurna Interactive""]",""
113112,Hades,https://www.igdb.com/g/2fa0,9.22344314852117,Main Game,"[""Dec 10, 2019 (Worldwide [WW])"", ""Dec 10, 2019 (Worldwide [WW])"", ""Mar 17, 2021 (Europe [EU])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Jun 24, 2021 (Japan [JP])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Sep 17, 2020 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Mac"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Indie"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy""]","[""Supergiant Games""]",""
139090,Inscryption,https://www.igdb.com/g/2zbm,8.98308884162727,Main Game,"[""Dec 01, 2022 (Worldwide [WW])"", ""Oct 19, 2021 (Worldwide [WW])"", ""Oct 19, 2021 (Worldwide [WW])"", ""Aug 30, 2022 (Worldwide [WW])"", ""Aug 30, 2022 (Worldwide [WW])"", ""Oct 19, 2021 (Worldwide [WW])""]","[""PlayStation 4"", ""Linux"", ""Mac"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Card & Board Game"", ""Indie"", ""Puzzle"", ""Strategy""]","[""Horror"", ""Mystery""]","[""Daniel Mullins Games"", ""Devolver Digital""]",""
