id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
777,Madden NFL 2004,https://www.igdb.com/g/ll,4.6,Main Game,"[""Aug 11, 2003 ()"", ""Aug 11, 2003 ()"", ""Aug 11, 2003 ()"", ""Aug 11, 2003 ()"", ""Aug 11, 2003 ()"", ""Aug 11, 2003 ()""]","[""PlayStation 2"", ""PlayStation"", ""Game Boy Advance"", ""Nintendo GameCube"", ""Xbox"", ""PC (Microsoft Windows)""]","[""Simulator"", ""Sport""]","[""Non-fiction""]","[""EA Sports"", ""EA Tiburon"", ""Budcat Creations""]",""
732,Grand Theft Auto: San Andreas,https://www.igdb.com/g/kc,9.01214942445991,Main Game,"[""Dec 05, 2015 (Worldwide [WW])"", ""Nov 12, 2010 ()"", ""Nov 10, 2010 ()"", ""Dec 12, 2013 (Worldwide [WW])"", ""Sep 01, 2011 (Worldwide [WW])"", ""Nov 10, 2010 ()"", ""Jun 07, 2005 ()"", ""Oct 26, 2004 ()"", ""Jun 07, 2005 ()"", ""Mar 21, 2014 (Worldwide [WW])""]","[""Android"", ""PlayStation 4"", ""Xbox 360"", ""PlayStation 2"", ""Mac"", ""iOS"", ""Xbox"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Racing"", ""Shooter""]","[""Action"", ""Non-fiction"", ""Open world""]","[""Take-Two Interactive"", ""Rockstar North"", ""Rockstar Games""]",""
974,Resident Evil 4,https://www.igdb.com/g/r2,8.73229968312678,Main Game,"[""Jan 27, 2005 (Japan [JP])"", ""Mar 18, 2005 (Europe [EU])"", ""Jan 11, 2005 (North America [NA])""]","[""Nintendo GameCube""]","[""Shooter""]","[""Action"", ""Horror"", ""Survival""]","[""Capcom"", ""Typhoon Games"", ""Capcom Production Studio 4""]",""
59,The Elder Scrolls IV: Oblivion,https://www.igdb.com/g/1n,8.55058404061787,Main Game,"[""Mar 24, 2006 (Europe [EU])"", ""Mar 24, 2006 (Europe [EU])"", ""Sep 27, 2007 (Japan [JP])"", ""Apr 27, 2007 (Europe [EU])"", ""Mar 20, 2007 (North America [NA])"", ""Apr 26, 2007 (Australia [AU])"", ""Mar 23, 2006 (Australia [AU])"", ""Mar 20, 2006 (North America [NA])"", ""Mar 20, 2006 (North America [NA])"", ""Mar 23, 2006 (Australia [AU])"", ""Jul 26, 2007 (Japan [JP])"", ""Mar 31, 2006 (Asia [AS])""]","[""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Historical"", ""Open world"", ""Sandbox""]","[""4J Studios"", ""Bethesda Game Studios"", ""Spike"", ""2K Games"", ""Bethesda Softworks""]",""
20,BioShock,https://www.igdb.com/g/k,8.73446659209782,Main Game,"[""Oct 21, 2008 (North America [NA])"", ""Dec 25, 2008 (Japan [JP])"", ""Oct 17, 2008 (Europe [EU])"", ""Oct 07, 2009 ()"", ""Aug 27, 2014 ()"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])""]","[""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Historical"", ""Horror"", ""Science fiction""]","[""2K China"", ""2K Games"", ""2K Marin"", ""Feral Interactive"", ""Digital Extremes"", ""Demiurge Studios"", ""2K Australia"", ""2K Boston""]",""
731,Grand Theft Auto IV,https://www.igdb.com/g/kb,8.29092540255152,Main Game,"[""Apr 29, 2008 (North America [NA])"", ""Dec 02, 2008 ()"", ""Apr 29, 2008 (Europe [EU])"", ""Oct 30, 2008 (Japan [JP])"", ""Apr 29, 2008 ()"", ""Apr 29, 2008 ()""]","[""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Racing"", ""Shooter""]","[""Action"", ""Open world""]","[""Take-Two Interactive"", ""Rockstar Games"", ""Rockstar Toronto"", ""Rockstar North""]",""
565,Uncharted 2: Among Thieves,https://www.igdb.com/g/fp,8.99001968071305,Main Game,"[""Oct 13, 2009 (North America [NA])"", ""Oct 15, 2009 (Japan [JP])"", ""Oct 16, 2009 (Europe [EU])"", ""Oct 15, 2009 (Australia [AU])""]","[""PlayStation 3""]","[""Adventure"", ""Platform"", ""Shooter""]","[""Action"", ""Fantasy"", ""Historical""]","[""Naughty Dog"", ""Sony Computer Entertainment, Inc. (SCEI)""]",""
434,Red Dead Redemption,https://www.igdb.com/g/c2,8.97075276117169,Main Game,"[""Oct 07, 2010 (Japan [JP])"", ""May 21, 2010 (Europe [EU])"", ""May 18, 2010 (North America [NA])"", ""May 21, 2010 (Europe [EU])"", ""May 18, 2010 (North America [NA])""]","[""Xbox 360"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Sandbox""]","[""Rockstar Games"", ""Rockstar North"", ""Take-Two Interactive"", ""Rockstar San Diego""]",""
472,The Elder Scrolls V: Skyrim,https://www.igdb.com/g/d4,8.77463037971909,Main Game,"[""Dec 08, 2011 (Japan [JP])"", ""Dec 08, 2011 (Japan [JP])"", ""Nov 10, 2011 (North America [NA])"", ""Nov 11, 2011 (Worldwide [WW])"", ""Nov 11, 2011 (Europe [EU])"", ""Nov 11, 2011 (North America [NA])"", ""Nov 11, 2011 (Worldwide [WW])"", ""Nov 11, 2011 (Worldwide [WW])"", ""Dec 08, 2011 (Japan [JP])""]","[""Xbox 360"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world"", ""Sandbox""]","[""Bethesda Game Studios"", ""Bethesda Softworks""]",""
1871,The Walking Dead: Season One,https://www.igdb.com/g/1fz,8.58905173639516,Main Game,"[""Oct 14, 2014 (North America [NA])"", ""Oct 31, 2014 (Europe [EU])"", ""Aug 22, 2013 (Worldwide [WW])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Aug 28, 2018 (Worldwide [WW])"", ""Apr 08, 2014 (Worldwide [WW])"", ""Apr 27, 2012 (Worldwide [WW])"", ""Apr 24, 2012 (North America [NA])"", ""Apr 25, 2012 (Europe [EU])"", ""Oct 14, 2014 (North America [NA])"", ""Jul 26, 2012 (Worldwide [WW])"", ""Apr 24, 2012 (Worldwide [WW])"", ""Oct 31, 2014 (Europe [EU])""]","[""Android"", ""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""Mac"", ""iOS"", ""PlayStation Vita"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Point-and-click""]","[""Action"", ""Drama"", ""Horror"", ""Survival""]","[""Telltale Games"", ""Sony Computer Entertainment, Inc. (SCEI)""]",""
1020,Grand Theft Auto V,https://www.igdb.com/g/sc,9.05004857617397,Main Game,"[""Nov 18, 2014 (Worldwide [WW])"", ""Sep 17, 2013 (North America [NA])"", ""TBD (Worldwide [WW])"", ""Mar 05, 2022 (Worldwide [WW])"", ""Sep 17, 2013 (Europe [EU])"", ""Apr 14, 2015 (Worldwide [WW])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (Worldwide [WW])"", ""Sep 17, 2013 (Worldwide [WW])"", ""Sep 17, 2013 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PlayStation 5"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox Series X|S""]","[""Adventure"", ""Shooter""]","[""Action"", ""Comedy"", ""Open world"", ""Sandbox""]","[""Take-Two Interactive"", ""Rockstar Games"", ""Rockstar North""]",""
