id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
114283,Persona 5 Royal,https://www.igdb.com/g/2g6j,9.89331602512388,Expanded Game,"[""Mar 31, 2020 (Asia [AS])"", ""Mar 31, 2020 (Europe [EU])"", ""Oct 31, 2019 (Japan [JP])"", ""Mar 31, 2020 (North America [NA])""]","[""PlayStation 4""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Atlus USA"", ""Atlus""]",""
2985,Persona 4 Golden,https://www.igdb.com/g/2ax,9.63280267315841,Expanded Game,"[""Jun 15, 2012 (Japan [JP])"", ""Feb 22, 2013 (Europe [EU])"", ""Nov 20, 2012 (North America [NA])"", ""Jun 13, 2020 (Worldwide [WW])""]","[""PlayStation Vita"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)"", ""Simulator"", ""Sport"", ""Visual Novel""]","[""Action"", ""Comedy"", ""Drama"", ""Educational"", ""Fantasy"", ""Open world"", ""Science fiction""]","[""NIS America"", ""Atlus"", ""Atlus USA""]",""
26472,Disco Elysium,https://www.igdb.com/g/kfc,9.57739204755295,Main Game,"[""Oct 15, 2019 (Worldwide [WW])"", ""Oct 15, 2019 (North America [NA])"", ""Apr 27, 2020 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)""]","[""Mystery"", ""Thriller""]","[""ZA/UM""]",""
1942,The Witcher 3: Wild Hunt,https://www.igdb.com/g/1hy,9.54577321822721,Main Game,"[""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])"", ""Jan 28, 2021 ()""]","[""Xbox One"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world""]","[""WB Games"", ""cdp.pl"", ""Spike ChunSoft"", ""Bandai Namco Entertainment"", ""1C Company"", ""CD Projekt RED"", ""D3T Limited""]",""
19560,God of War,https://www.igdb.com/g/f3c,9.50291326739682,Main Game,"[""Apr 20, 2018 (Worldwide [WW])""]","[""PlayStation 4""]","[""Adventure"", ""Hack and slash/Beat 'em up""]","[""Action"", ""Fantasy"", ""Historical""]","[""Sony Interactive Entertainment"", ""SIE Santa Monica Studio""]",""
6036,The Last of Us Remastered,https://www.igdb.com/g/4no,9.46659842309317,Remaster,"[""Aug 01, 2014 (Europe [EU])"", ""Jul 30, 2014 (New Zealand [NZ])"", ""Jul 30, 2014 (Australia [AU])"", ""Jul 29, 2014 (North America [NA])""]","[""PlayStation 4""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Naughty Dog"", ""Sony Computer Entertainment, Inc. (SCEI)""]",""
1802,Chrono Trigger,https://www.igdb.com/g/1e2,9.40413191406899,Main Game,"[""May 20, 2011 (Europe [EU])"", ""Nov 02, 1999 (Japan [JP])"", ""Feb 27, 2018 ()"", ""Apr 26, 2011 (Japan [JP])"", ""Nov 20, 2008 (Japan [JP])"", ""May 16, 2011 (North America [NA])"", ""Oct 04, 2011 (North America [NA])"", ""Nov 25, 2008 (North America [NA])"", ""Aug 11, 1995 (North America [NA])"", ""Oct 29, 2012 (Worldwide [WW])"", ""Jun 29, 2001 (North America [NA])"", ""Feb 03, 2009 (Australia [AU])"", ""Feb 06, 2009 (Europe [EU])"", ""May 20, 2011 (Australia [AU])"", ""Dec 22, 2011 (Japan [JP])"", ""Dec 09, 2011 ()"", ""Mar 11, 1995 (Japan [JP])""]","[""Android"", ""Nintendo DS"", ""PlayStation"", ""iOS"", ""Super Famicom"", ""Super Nintendo Entertainment System (SNES)"", ""Wii"", ""PlayStation 3"", ""PC (Microsoft Windows)""]","[""Role-playing (RPG)""]","[""Fantasy"", ""Science fiction""]","[""Square""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.36721506042206,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment, Inc. (SCEI)"", ""Naughty Dog""]",""
3349,Paper Mario: The Thousand'-Year Door,https://www.igdb.com/g/2l1,9.35386580721098,Main Game,"[""Jul 22, 2004 (Japan [JP])"", ""Oct 11, 2004 (North America [NA])"", ""Nov 18, 2004 (Australia [AU])"", ""Nov 12, 2004 (Europe [EU])""]","[""Nintendo GameCube""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Comedy"", ""Fantasy""]","[""Intelligent Systems Co., Ltd."", ""Nintendo""]",""
9927,Persona 5,https://www.igdb.com/g/7nr,9.33682389887421,Main Game,"[""Sep 15, 2016 (Japan [JP])"", ""Apr 04, 2017 (Worldwide [WW])"", ""Apr 04, 2017 (Worldwide [WW])"", ""Sep 15, 2016 (Japan [JP])""]","[""PlayStation 4"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Turn-based strategy (TBS)""]","[""Action"", ""Fantasy"", ""Stealth""]","[""Atlus"", ""P Studio"", ""Atlus USA"", ""Deep Silver""]",""
