id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
11325,The Oregon Trail,https://www.igdb.com/g/8ql,7.99154122049614,Main Game,"[""1974 (North America [NA])"", ""Dec 03, 1971 (North America [NA])""]","[""HP 2100"", ""CDC Cyber 70""]","[""Adventure"", ""Simulator"", ""Strategy""]","[""Educational"", ""Historical""]","[""MECC""]",""
1333,Pong,https://www.igdb.com/g/111,7.67854081215188,Main Game,"[""Nov 1976 ()"", ""1975 (North America [NA])"", ""Nov 29, 1972 (North America [NA])"", ""1977 ()""]","[""AY-3-8500"", ""Fairchild Channel F"", ""AY-3-8610"", ""Arcade""]","[""Arcade"", ""Simulator"", ""Sport""]","[""Action""]","[""General Instrument Microelectronic"", ""Atari, Inc."", ""Fairchild Semiconductor""]",""
1944,Zork I: The Great Underground Empire,https://www.igdb.com/g/1i0,6.98635505146546,Main Game,"[""1980 (North America [NA])"", ""1980 (North America [NA])"", ""1986 (Europe [EU])"", ""1984 (North America [NA])"", ""1986 (Europe [EU])"", ""1985 (North America [NA])"", ""1983 (North America [NA])"", ""1984 (North America [NA])"", ""1984 (North America [NA])"", ""1982 (North America [NA])"", ""1984 (North America [NA])"", ""1985 (Europe [EU])"", ""1983 (North America [NA])"", ""1986 (North America [NA])"", ""Mar 29, 1991 (Japan [JP])""]","[""Atari 8-bit"", ""Commodore 16"", ""Amstrad PCW"", ""Amstrad CPC"", ""Amiga"", ""Mac"", ""PC DOS"", ""Commodore C64/128"", ""TRS-80 Color Computer"", ""Commodore Plus/4"", ""Apple II"", ""TRS-80"", ""PC-98"", ""Tatung Einstein"", ""Atari ST/STE""]","[""Adventure""]","[""Fantasy""]","[""Commodore Electronics Ltd."", ""Infocom"", ""Personal Software"", ""SystemSoft""]",""
3601,Space Invaders,https://www.igdb.com/g/2s1,7.89749531598536,Main Game,"[""2007 ()"", ""Jun 1978 (Japan [JP])"", ""1985 ()"", ""Oct 1978 (North America [NA])"", ""1982 ()"", ""1985 ()"", ""1996 ()"", ""2009 ()"", ""1980 ()"", ""1999 ()"", ""1999 ()""]","[""Sega Saturn"", ""Nintendo Entertainment System (NES)"", ""iOS"", ""WonderSwan"", ""Atari 2600"", ""Game Boy"", ""Atari 5200"", ""Mobile"", ""SG-1000"", ""Arcade""]","[""Arcade"", ""Shooter""]","[""Science fiction""]","[""Midway Manufacturing Company"", ""Taito"", ""Taito Corporation""]",""
7758,Asteroids,https://www.igdb.com/g/5zi,7.74290910276058,Main Game,"[""1981 (North America [NA])"", ""1981 (North America [NA])"", ""1980 (North America [NA])"", ""1986 (North America [NA])"", ""Nov 1979 (North America [NA])""]","[""Atari 8-bit"", ""Atari 2600"", ""Atari 7800"", ""Apple II"", ""Arcade""]","[""Arcade"", ""Shooter""]","[""Action"", ""Science fiction""]","[""Taito"", ""Sega"", ""Atari"", ""Adventure International"", ""General Computer Corporation (GCC)""]",""
8253,Adventure,https://www.igdb.com/g/6d9,7.01760198236912,Main Game,"[""Dec 1979 (North America [NA])""]","[""Atari 2600""]","[""Adventure""]","[""Fantasy""]","[""Atari"", ""Sears""]",""
12313,Missile Command,https://www.igdb.com/g/9i1,7.04693162268586,Main Game,"[""1981 (North America [NA])"", ""1987 (North America [NA])"", ""Apr 1981 (North America [NA])"", ""Jul 1980 (Japan [JP])"", ""Q3 1980 (Europe [EU])"", ""Jul 1980 (North America [NA])"", ""1982 (North America [NA])""]","[""Atari 8-bit"", ""Atari 2600"", ""Atari 5200"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Shooter""]","[""Action"", ""Science fiction"", ""Warfare""]","[""Atari"", ""Polyvox"", ""Taito"", ""Sega"", ""Sears""]",""
2235,Centipede,https://www.igdb.com/g/1q3,7.16065767726924,Main Game,"[""1983 (North America [NA])"", ""1983 (Europe [EU])"", ""1983 (North America [NA])"", ""1982 (North America [NA])"", ""Dec 1992 (North America [NA])"", ""1983 (North America [NA])"", ""Jun 06, 1981 (North America [NA])"", ""Nov 1983 (North America [NA])"", ""Dec 1983 (North America [NA])"", ""1983 (Japan [JP])"", ""Aug 2010 (Worldwide [WW])"", ""1987 (North America [NA])"", ""1983 (North America [NA])"", ""Nov 30, 1998 (Europe [EU])"", ""1983 (North America [NA])"", ""1983 (Europe [EU])"", ""1982 (North America [NA])"", ""1982 (North America [NA])""]","[""Atari 8-bit"", ""Texas Instruments TI-99"", ""Game Boy Color"", ""Atari 2600"", ""PC DOS"", ""Commodore C64/128"", ""Game Boy"", ""Atari 5200"", ""Intellivision"", ""ColecoVision"", ""Web browser"", ""Atari 7800"", ""BBC Microcomputer System"", ""Commodore VIC-20"", ""Apple II"", ""Arcade""]","[""Arcade"", ""Shooter""]","[""Action"", ""Science fiction""]","[""Code Mystics"", ""Sanritsu Denki Co., Ltd."", ""Atari"", ""Superior Software Ltd.""]",""
3873,Defender,https://www.igdb.com/g/2zl,7.58599113907007,Main Game,"[""1994 (North America [NA])"", ""1982 (North America [NA])"", ""Mar 1981 (North America [NA])"", ""Oct 1983 (North America [NA])"", ""1982 (North America [NA])"", ""Dec 1982 (North America [NA])"", ""Dec 1983 (North America [NA])"", ""Dec 1983 (North America [NA])"", ""Nov 1983 (North America [NA])"", ""Jul 2000 (Worldwide [WW])"", ""1983 (North America [NA])"", ""1983 (North America [NA])"", ""1983 (North America [NA])""]","[""Atari 8-bit"", ""Texas Instruments TI-99"", ""Mac"", ""Atari 2600"", ""PC DOS"", ""Commodore C64/128"", ""Atari 5200"", ""Intellivision"", ""ColecoVision"", ""Web browser"", ""Commodore VIC-20"", ""Apple II"", ""Arcade""]","[""Shooter"", ""Strategy""]","[""Action"", ""Science fiction""]","[""Shockwave"", ""Sears"", ""Digital Eclipse Software"", ""Williams Electronics"", ""Atari""]",""
1086,Donkey Kong,https://www.igdb.com/g/u6,7.15424083751639,Main Game,"[""Oct 18, 1982 (North America [NA])"", ""Apr 08, 1988 (Japan [JP])"", ""Jul 09, 1981 (Japan [JP])"", ""Jul 31, 1981 (North America [NA])"", ""Dec 15, 1983 (North America [NA])"", ""Jan 01, 1983 (North America [NA])"", ""Nov 15, 1986 (Europe [EU])"", ""1981 (Europe [EU])"", ""Jul 10, 1986 (Europe [EU])"", ""Jul 26, 1986 (Europe [EU])"", ""Jun 23, 1983 (North America [NA])""]","[""Atari 8-bit"", ""Texas Instruments TI-99"", ""MSX"", ""Amstrad CPC"", ""ZX Spectrum"", ""PC DOS"", ""Family Computer Disk System"", ""Commodore VIC-20"", ""Arcade""]","[""Arcade"", ""Platform""]","[""Action""]","[""Nintendo"", ""Ocean Software"", ""Atarisoft"", ""Atari, Inc.""]",""
