id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
8197,Tetris,https://www.igdb.com/g/6bp,8.65886538485057,Remake,"[""Nov 1989 (North America [NA])"", ""Feb 23, 1990 (Europe [EU])""]","[""Nintendo Entertainment System""]","[""Arcade"", ""Puzzle"", ""Strategy""]",[],"[""Nintendo""]",""
233,Half'-Life 2,https://www.igdb.com/g/6h,9.07669832116249,Main Game,"[""Oct 19, 2007 (Europe [EU])"", ""May 09, 2013 (Worldwide [WW])"", ""May 22, 2008 (Japan [JP])"", ""Oct 10, 2007 (North America [NA])"", ""Nov 15, 2005 (North America [NA])"", ""Oct 09, 2007 (Asia [AS])"", ""Dec 11, 2007 (North America [NA])"", ""Dec 11, 2007 (Asia [AS])"", ""May 26, 2010 (Worldwide [WW])"", ""Dec 20, 2007 (Australia [AU])"", ""Oct 25, 2007 (Australia [AU])"", ""Nov 16, 2004 (Europe [EU])"", ""Nov 18, 2005 (Europe [EU])"", ""Nov 16, 2004 (North America [NA])"", ""May 12, 2014 (Worldwide [WW])"", ""Dec 14, 2007 (Europe [EU])"", ""Dec 02, 2005 (Japan [JP])""]","[""Android"", ""Linux"", ""Xbox 360"", ""Mac"", ""Xbox"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction""]","[""Valve"", ""Sierra Entertainment"", ""NVIDIA Lightspeed Studios""]",""
974,Resident Evil 4,https://www.igdb.com/g/3413,8.78895808899398,Main Game,"[""Oct 25, 2005 (North America [NA])"", ""Jun 07, 2007 (Japan [JP])"", ""Apr 02, 2007 (North America [NA])"", ""Mar 08, 2007 (Europe [EU])"", ""Dec 01, 2005 (Japan [JP])"", ""Nov 04, 2005 (Europe [EU])""]","[""PlayStation 2"", ""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Horror"", ""Survival""]","[""Sourcenext"", ""Capcom"", ""Capcom Production Studio 4""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.32170575518064,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment"", ""Naughty Dog""]",""
7346,The Legend of Zelda: Breath of the Wild,https://www.igdb.com/g/5o2,9.22651379659513,Main Game,"[""Mar 03, 2017 (Worldwide [WW])"", ""Mar 03, 2017 (Worldwide [WW])""]","[""Wii U"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Survival""]","[""Nintendo""]",""
1942,The Witcher 3: Wild Hunt,https://www.igdb.com/g/1hy,9.47932427294898,Main Game,"[""Dec 14, 2022 (Worldwide [WW])"", ""Dec 14, 2022 (Worldwide [WW])"", ""Jan 28, 2021 ()"", ""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world""]","[""Saber Interactive"", ""WB Games"", ""cdp.pl"", ""Spike ChunSoft"", ""Bandai Namco Entertainment"", ""CD Projekt RED"", ""D3T Limited""]",""
1026,The Legend of Zelda: A Link to the Past,https://www.igdb.com/g/si,9.24619894350849,Main Game,"[""Jun 10, 2008 (Korea [KR])"", ""Mar 23, 2007 (Australia [AU])"", ""TBD (Korea [KR])"", ""Apr 14, 2016 (North America [NA])"", ""Mar 02, 1997 (Japan [JP])"", ""Dec 02, 2006 (Japan [JP])"", ""Mar 10, 2016 (Europe [EU])"", ""Sep 24, 1992 (Europe [EU])"", ""Nov 21, 1991 (Japan [JP])"", ""Jan 22, 2007 (North America [NA])"", ""Mar 23, 2007 (Europe [EU])"", ""Dec 12, 2013 (Europe [EU])"", ""Feb 12, 2014 (Japan [JP])"", ""Jan 30, 2014 (North America [NA])"", ""Apr 13, 1992 (North America [NA])""]","[""Wii U"", ""New Nintendo 3DS"", ""Super Nintendo Entertainment System"", ""Super Famicom"", ""Wii"", ""Satellaview""]","[""Adventure"", ""Puzzle"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Nintendo"", ""Nintendo EAD"", ""St. GIGA""]",""
434,Red Dead Redemption,https://www.igdb.com/g/c2,8.94453000602514,Main Game,"[""May 18, 2010 (North America [NA])"", ""May 21, 2010 (Europe [EU])"", ""Oct 07, 2010 (Japan [JP])"", ""May 18, 2010 (North America [NA])"", ""May 21, 2010 (Europe [EU])""]","[""Xbox 360"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Sandbox""]","[""Rockstar Games"", ""Rockstar North"", ""Take-Two Interactive"", ""Rockstar San Diego""]",""
1074,Super Mario 64,https://www.igdb.com/g/tu,9.02929729482033,Main Game,"[""Apr 01, 2015 (Europe [EU])"", ""Dec 08, 2006 (Europe [EU])"", ""Apr 01, 2015 (North America [NA])"", ""Apr 02, 2015 (Australia [AU])"", ""Nov 19, 2006 (North America [NA])"", ""Mar 01, 1997 (Europe [EU])"", ""Dec 07, 2006 (Australia [AU])"", ""Mar 01, 1997 (Australia [AU])"", ""Sep 29, 1996 (North America [NA])"", ""Jun 23, 1996 (Japan [JP])""]","[""Wii U"", ""Wii"", ""Nintendo 64""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy""]","[""Nintendo EAD"", ""Nintendo""]",""
1029,The Legend of Zelda: Ocarina of Time,https://www.igdb.com/g/sl,9.17961460678063,Main Game,"[""TBD (China [CH])"", ""Feb 23, 2007 (Australia [AU])"", ""Dec 18, 1998 (Australia [AU])"", ""Dec 11, 1998 (Europe [EU])"", ""Nov 23, 1998 (North America [NA])"", ""Nov 21, 1998 (Japan [JP])"", ""Jul 02, 2015 (Europe [EU])"", ""Feb 27, 2007 (Japan [JP])"", ""Feb 23, 2007 (Europe [EU])"", ""Feb 26, 2007 (North America [NA])"", ""Jul 02, 2015 (North America [NA])""]","[""Wii U"", ""Wii"", ""Nintendo 64""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Nintendo EAD"", ""Nintendo""]",""
1103,Super Metroid,https://www.igdb.com/g/un,9.30071337071085,Main Game,"[""Apr 26, 2008 (Korea [KR])"", ""Oct 12, 2007 (Australia [AU])"", ""Oct 12, 2007 (Europe [EU])"", ""Mar 10, 2016 (Europe [EU])"", ""May 15, 2013 (North America [NA])"", ""May 15, 2013 (Japan [JP])"", ""Mar 19, 1994 ()"", ""May 16, 2013 (Europe [EU])"", ""Aug 20, 2007 (North America [NA])"", ""Sep 20, 2007 (Japan [JP])""]","[""Wii U"", ""New Nintendo 3DS"", ""Super Nintendo Entertainment System"", ""Wii""]","[""Adventure"", ""Platform"", ""Shooter""]","[""Action"", ""Science fiction"", ""Thriller""]","[""Nintendo"", ""Intelligent Systems"", ""Nintendo R&D1""]",""
20,BioShock,https://www.igdb.com/g/k,8.72301263586434,Main Game,"[""Oct 07, 2009 (North America [NA])"", ""Oct 07, 2009 (Europe [EU])"", ""Aug 21, 2007 (Worldwide [WW])"", ""Feb 21, 2008 (Japan [JP])"", ""Aug 24, 2007 (Europe [EU])"", ""Aug 21, 2007 (North America [NA])""]","[""Xbox 360"", ""Mac"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Horror"", ""Science fiction""]","[""Robosoft Technologies"", ""2K Boston"", ""2K Australia"", ""2K Games"", ""Demiurge Studios""]",""
3186,Street Fighter II,https://www.igdb.com/g/2gi,8.24437261385233,Main Game,"[""TBD (Korea [KR])"", ""Aug 22, 2013 (Europe [EU])"", ""Dec 02, 2006 (Japan [JP])"", ""Dec 25, 2006 (North America [NA])"", ""Jan 19, 2007 (Europe [EU])"", ""1992 (Europe [EU])"", ""1992 (Europe [EU])"", ""Dec 17, 1992 (Europe [EU])"", ""1993 (North America [NA])"", ""Nov 23, 1995 (Europe [EU])"", ""1992 (Europe [EU])"", ""Feb 06, 1991 (Worldwide [WW])"", ""Jul 15, 1992 (North America [NA])"", ""Jun 10, 1992 (Japan [JP])"", ""Dec 17, 2012 (Australia [AU])"", ""Dec 31, 1994 (North America [NA])"", ""1992 (Europe [EU])"", ""1992 (Europe [EU])"", ""1992 (Europe [EU])""]","[""Wii U"", ""Amstrad CPC"", ""Super Nintendo Entertainment System"", ""Commodore C64/128/MAX"", ""Amiga"", ""Game Boy"", ""ZX Spectrum"", ""DOS"", ""Super Famicom"", ""Wii"", ""Atari ST/STE"", ""Arcade"", ""PC (Microsoft Windows)""]","[""Arcade"", ""Fighting""]","[""Action"", ""Science fiction""]","[""Sun L"", ""Digital Eclipse"", ""Capcom"", ""U.S. Gold""]",""
2207,Shadow of the Colossus,https://www.igdb.com/g/1pb,9.01767950657839,Main Game,"[""Feb 16, 2006 (Australia [AU])"", ""Oct 27, 2005 (Japan [JP])"", ""Feb 17, 2006 (Europe [EU])"", ""Oct 18, 2005 (North America [NA])""]","[""PlayStation 2""]","[""Adventure"", ""Platform"", ""Puzzle""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world""]","[""Sony Computer Entertainment"", ""Team Ico""]",""
74,Mass Effect 2,https://www.igdb.com/g/22,9.14293072646478,Main Game,"[""Jan 26, 2010 (Worldwide [WW])"", ""Jan 26, 2010 (North America [NA])"", ""Jan 21, 2011 (Europe [EU])"", ""Jan 29, 2010 (Europe [EU])"", ""Jan 28, 2010 (Australia [AU])"", ""Jan 29, 2010 (Europe [EU])"", ""Jan 27, 2011 (Australia [AU])"", ""Jan 18, 2011 (North America [NA])""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter"", ""Simulator""]","[""Action"", ""Science fiction""]","[""Electronic Arts"", ""BioWare"", ""BioWare Edmonton"", ""BioWare Montréal""]",""
623,Call of Duty 4: Modern Warfare,https://www.igdb.com/g/hb,8.45332768389523,Main Game,"[""Nov 09, 2007 (Europe [EU])"", ""Jan 28, 2011 (Australia [AU])"", ""Sep 26, 2008 (North America [NA])"", ""Nov 07, 2007 (Australia [AU])"", ""Nov 07, 2007 (Australia [AU])"", ""Nov 05, 2007 (North America [NA])"", ""Nov 09, 2007 (Europe [EU])"", ""Nov 05, 2007 (North America [NA])"", ""Nov 09, 2007 (Europe [EU])"", ""Nov 05, 2007 (North America [NA])"", ""Nov 07, 2007 (Australia [AU])""]","[""Xbox 360"", ""Mac"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Shooter"", ""Simulator""]","[""Action"", ""Warfare""]","[""Treyarch"", ""Activision"", ""n-Space"", ""Infinity Ward""]",""
