id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
8197,Tetris,https://www.igdb.com/g/6bp,8.67975138139053,Main Game,"[""1989 (Japan [JP])"", ""1987 (Europe [EU])"", ""Jun 06, 1984 (Europe [EU])"", ""1988 (Europe [EU])"", ""1988 (North America [NA])"", ""Feb 23, 1990 (Europe [EU])"", ""1987 (Europe [EU])"", ""1987 (Europe [EU])"", ""1989 (North America [NA])"", ""1987 (Europe [EU])"", ""Nov 18, 1988 (Japan [JP])"", ""1988 (Japan [JP])"", ""Dec 22, 1988 (Japan [JP])"", ""Nov 1989 (North America [NA])"", ""1988 (Japan [JP])"", ""1988 (Europe [EU])"", ""1988 (North America [NA])"", ""1988 (North America [NA])"", ""Oct 21, 1998 (Japan [JP])"", ""1989 (Asia [AS])"", ""Apr 18, 2002 (Japan [JP])"", ""Sep 30, 2006 (Worldwide [WW])"", ""1984 ()""]","[""BBC Microcomputer System"", ""MSX"", ""Sega Mega Drive/Genesis"", ""Game Boy Color"", ""Amiga"", ""Nintendo Entertainment System (NES)"", ""Mac"", ""ZX Spectrum"", ""PC DOS"", ""Commodore C64/128"", ""WonderSwan"", ""Sega Master System"", ""Sharp X1"", ""Commodore VIC-20"", ""Apple II"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Puzzle"", ""Strategy""]",[],"[""Spectrum HoloByte, Inc."", ""Vadim Gerasimov"", ""Alexey Pajitnov"", ""Nintendo"", ""Infogrames"", ""Mirrorsoft"", ""DR Korea"", ""Tandy"", ""Sphere"", ""Bullet-Proof Software"", ""Elorg"", ""Rowan Software"", ""Andromeda Software"", ""AcademySoft"", ""Philips Interactive Media, Inc."", ""Sanritsu"", ""ZTC Systems"", ""Sega"", ""W!Games""]",""
233,Half'-Life 2,https://www.igdb.com/g/6h,9.08906582317361,Main Game,"[""May 22, 2008 (Japan [JP])"", ""Oct 19, 2007 (Europe [EU])"", ""May 09, 2013 (Worldwide [WW])"", ""Dec 14, 2007 (Europe [EU])"", ""Dec 02, 2005 (Japan [JP])"", ""May 12, 2014 (Worldwide [WW])"", ""Nov 16, 2004 (North America [NA])"", ""Nov 18, 2005 (Europe [EU])"", ""Nov 16, 2004 (Europe [EU])"", ""Oct 25, 2007 (Australia [AU])"", ""Dec 20, 2007 (Australia [AU])"", ""May 26, 2010 (Worldwide [WW])"", ""Dec 11, 2007 (Asia [AS])"", ""Dec 11, 2007 (North America [NA])"", ""Oct 09, 2007 (Asia [AS])"", ""Nov 15, 2005 (North America [NA])"", ""Oct 10, 2007 (North America [NA])""]","[""Android"", ""Linux"", ""Xbox 360"", ""Mac"", ""Xbox"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction""]","[""Valve Corporation"", ""Sierra Entertainment"", ""NVIDIA Lightspeed Studios""]",""
974,Resident Evil 4,https://www.igdb.com/g/r2,8.73420890344099,Main Game,"[""Jan 27, 2005 (Japan [JP])"", ""Mar 18, 2005 (Europe [EU])"", ""Jan 11, 2005 (North America [NA])""]","[""Nintendo GameCube""]","[""Shooter""]","[""Action"", ""Horror"", ""Survival""]","[""Capcom"", ""Typhoon Games"", ""Capcom Production Studio 4""]",""
1026,The Legend of Zelda: A Link to the Past,https://www.igdb.com/g/si,9.22707077698475,Main Game,"[""Mar 14, 2003 (Japan [JP])"", ""Sep 24, 1992 (Europe [EU])"", ""Mar 10, 2016 (Europe [EU])"", ""Dec 02, 2006 (Japan [JP])"", ""Mar 02, 1997 (Japan [JP])"", ""Apr 14, 2016 (North America [NA])"", ""Apr 13, 1992 (North America [NA])"", ""Jan 30, 2014 (North America [NA])"", ""Feb 12, 2014 (Japan [JP])"", ""Dec 12, 2013 (Europe [EU])"", ""Sep 04, 2019 (Worldwide [WW])"", ""Mar 23, 2007 (Europe [EU])"", ""Jan 22, 2007 (North America [NA])"", ""Apr 14, 2016 (North America [NA])"", ""Nov 21, 1991 (Japan [JP])"", ""Mar 28, 2003 (Europe [EU])"", ""Dec 02, 2002 (North America [NA])""]","[""Nintendo 3DS"", ""Wii U"", ""New Nintendo 3DS"", ""Game Boy Advance"", ""Super Famicom"", ""Super Nintendo Entertainment System (SNES)"", ""Wii"", ""Satellaview"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Nintendo EAD"", ""Nintendo"", ""St. GIGA""]",""
1074,Super Mario 64,https://www.igdb.com/g/tu,9.01997468278002,Main Game,"[""Nov 19, 2006 (North America [NA])"", ""Mar 01, 1997 (Europe [EU])"", ""Apr 02, 2015 (Australia [AU])"", ""Dec 08, 2006 (Europe [EU])"", ""Apr 01, 2015 (North America [NA])"", ""Apr 01, 2015 (Europe [EU])"", ""Jun 23, 1996 (Japan [JP])"", ""Sep 29, 1996 (North America [NA])"", ""Mar 01, 1997 (Australia [AU])"", ""Dec 07, 2006 (Australia [AU])""]","[""Wii U"", ""Wii"", ""Nintendo 64""]","[""Platform""]","[""Action""]","[""Nintendo EAD"", ""Nintendo""]",""
1029,The Legend of Zelda: Ocarina of Time,https://www.igdb.com/g/sl,9.19463796154437,Main Game,"[""Jul 02, 2015 (Europe [EU])"", ""Nov 21, 1998 (Japan [JP])"", ""Nov 23, 1998 (North America [NA])"", ""Dec 11, 1998 (Europe [EU])"", ""Dec 18, 1998 (Australia [AU])"", ""Jul 02, 2015 (North America [NA])"", ""Feb 26, 2007 (North America [NA])"", ""Feb 23, 2007 (Europe [EU])"", ""Feb 27, 2007 (Japan [JP])""]","[""Wii U"", ""Wii"", ""Nintendo 64""]","[""Adventure"", ""Platform"", ""Puzzle"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Sandbox""]","[""Nintendo"", ""Nintendo EAD""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.3667746235708,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment, Inc. (SCEI)"", ""Naughty Dog""]",""
20,BioShock,https://www.igdb.com/g/k,8.73464858206986,Main Game,"[""Oct 21, 2008 (North America [NA])"", ""Dec 25, 2008 (Japan [JP])"", ""Oct 17, 2008 (Europe [EU])"", ""Oct 07, 2009 ()"", ""Aug 27, 2014 ()"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])"", ""Aug 21, 2007 (North America [NA])"", ""Aug 24, 2007 (Europe [EU])""]","[""Xbox 360"", ""Mac"", ""iOS"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Historical"", ""Horror"", ""Science fiction""]","[""2K China"", ""2K Games"", ""2K Marin"", ""Feral Interactive"", ""Digital Extremes"", ""Demiurge Studios"", ""2K Australia"", ""2K Boston""]",""
434,Red Dead Redemption,https://www.igdb.com/g/c2,8.97042815732576,Main Game,"[""Oct 07, 2010 (Japan [JP])"", ""May 21, 2010 (Europe [EU])"", ""May 18, 2010 (North America [NA])"", ""May 21, 2010 (Europe [EU])"", ""May 18, 2010 (North America [NA])""]","[""Xbox 360"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Shooter""]","[""Action"", ""Open world"", ""Sandbox""]","[""Rockstar Games"", ""Rockstar North"", ""Take-Two Interactive"", ""Rockstar San Diego""]",""
1103,Super Metroid,https://www.igdb.com/g/un,9.267014075232,Main Game,"[""May 15, 2013 (Japan [JP])"", ""May 15, 2013 (North America [NA])"", ""Apr 14, 2016 (North America [NA])"", ""Mar 10, 2016 (Europe [EU])"", ""Aug 20, 2007 ()"", ""Oct 12, 2007 (Europe [EU])"", ""Apr 14, 2016 (North America [NA])"", ""Sep 20, 2007 (Japan [JP])"", ""Aug 20, 2007 (North America [NA])"", ""May 16, 2013 (Europe [EU])"", ""Sep 05, 2019 (Worldwide [WW])"", ""Mar 19, 1994 ()""]","[""Nintendo 3DS"", ""Wii U"", ""New Nintendo 3DS"", ""Super Nintendo Entertainment System (SNES)"", ""Wii"", ""Nintendo Switch""]","[""Adventure"", ""Platform"", ""Shooter""]","[""Action"", ""Horror"", ""Science fiction"", ""Thriller""]","[""Nintendo"", ""Intelligent Systems"", ""Nintendo R&D1""]",""
