id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
7346,The Legend of Zelda: Breath of the Wild,https://www.igdb.com/g/5o2,9.22651379659513,Main Game,"[""Mar 03, 2017 (Worldwide [WW])"", ""Mar 03, 2017 (Worldwide [WW])""]","[""Wii U"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Survival""]","[""Nintendo""]",""
19560,God of War,https://www.igdb.com/g/f3c,9.44363636493894,Main Game,"[""Jan 14, 2022 (Worldwide [WW])"", ""Apr 20, 2018 (Worldwide [WW])""]","[""PlayStation 4"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Historical""]","[""Jetpack Interactive"", ""Sony Interactive Entertainment"", ""SIE Santa Monica Studio""]",""
113112,Hades,https://www.igdb.com/g/2fa0,9.22344314852117,Main Game,"[""Dec 10, 2019 (Worldwide [WW])"", ""Dec 10, 2019 (Worldwide [WW])"", ""Mar 17, 2021 (Europe [EU])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Jun 24, 2021 (Japan [JP])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Aug 13, 2021 (Worldwide [WW])"", ""Sep 17, 2020 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""Mac"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Indie"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Fantasy""]","[""Supergiant Games""]",""
119133,Elden Ring,https://www.igdb.com/g/2jx9,9.59214001696828,Main Game,"[""Feb 25, 2022 (Worldwide [WW])"", ""Feb 25, 2022 (Worldwide [WW])"", ""Feb 25, 2022 (Worldwide [WW])"", ""Feb 25, 2022 (Worldwide [WW])"", ""Feb 25, 2022 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Xbox Series X|S""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world""]","[""FromSoftware"", ""Bandai Namco Entertainment""]",""
1009,The Last of Us,https://www.igdb.com/g/s1,9.32170575518064,Main Game,"[""Jun 14, 2013 (Europe [EU])"", ""Jun 14, 2013 (North America [NA])""]","[""PlayStation 3""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror"", ""Stealth"", ""Survival""]","[""Sony Computer Entertainment"", ""Naughty Dog""]",""
8173,Overwatch,https://www.igdb.com/g/6b1,8.29206456742288,Main Game,"[""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])"", ""May 24, 2016 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Shooter"", ""Strategy""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Blizzard Entertainment"", ""Square Enix""]",""
1887,Dragon Age: Inquisition,https://www.igdb.com/g/1gf,8.34284569528148,Main Game,"[""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 27, 2014 (Japan [JP])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (Australia [AU])"", ""Nov 21, 2014 (Europe [EU])"", ""Nov 18, 2014 (North America [NA])"", ""Nov 18, 2014 (North America [NA])""]","[""Xbox One"", ""PlayStation 4"", ""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)"", ""Tactical""]","[""Action"", ""Fantasy"", ""Historical""]","[""Electronic Arts"", ""BioWare Edmonton"", ""BioWare""]",""
1942,The Witcher 3: Wild Hunt,https://www.igdb.com/g/1hy,9.47932427294898,Main Game,"[""Dec 14, 2022 (Worldwide [WW])"", ""Dec 14, 2022 (Worldwide [WW])"", ""Jan 28, 2021 ()"", ""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])"", ""May 19, 2015 (Worldwide [WW])""]","[""Xbox One"", ""PlayStation 4"", ""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox Series X|S""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world""]","[""Saber Interactive"", ""WB Games"", ""cdp.pl"", ""Spike ChunSoft"", ""Bandai Namco Entertainment"", ""CD Projekt RED"", ""D3T Limited""]",""
565,Uncharted 2: Among Thieves,https://www.igdb.com/g/fp,8.93947175819445,Main Game,"[""Oct 13, 2009 (North America [NA])"", ""Oct 15, 2009 (Australia [AU])"", ""Oct 16, 2009 (Europe [EU])"", ""Oct 15, 2009 (Japan [JP])""]","[""PlayStation 3""]","[""Adventure"", ""Platform"", ""Shooter""]","[""Action"", ""Fantasy"", ""Historical""]","[""Sony Computer Entertainment"", ""Naughty Dog""]",""
472,The Elder Scrolls V: Skyrim,https://www.igdb.com/g/d4,8.75523215555553,Main Game,"[""Nov 10, 2011 (Worldwide [WW])"", ""Nov 10, 2011 (North America [NA])"", ""Dec 08, 2011 (Japan [JP])"", ""Dec 08, 2011 (Japan [JP])"", ""Dec 08, 2011 (Japan [JP])"", ""Nov 11, 2011 (Worldwide [WW])"", ""Nov 11, 2011 (North America [NA])"", ""Nov 11, 2011 (Europe [EU])"", ""Nov 11, 2011 (Worldwide [WW])""]","[""Xbox 360"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Open world"", ""Sandbox"", ""Stealth""]","[""Bethesda Game Studios"", ""Bethesda Softworks""]",""
