Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0040053,2015-11-27,2015-11-27,,Toast of the Town,https://www.imdb.com/title/tt0040053/,tvSeries,7.8,60,1948,"Comedy, Music",1121,1948-06-20,
2,tt0041030,2015-11-27,2015-11-27,,Hopalong Cassidy,https://www.imdb.com/title/tt0041030/,tvSeries,7.9,60,1952,Western,289,1952-09-19,
3,tt0041038,2015-11-27,2015-11-27,,The Lone Ranger,https://www.imdb.com/title/tt0041038/,tvSeries,7.8,30,1949,Western,2085,1949-09-15,
4,tt0042111,2015-11-27,2015-11-27,,The George Burns and Gracie Allen Show,https://www.imdb.com/title/tt0042111/,tvSeries,8.4,30,1950,Comedy,1190,1950-10-12,
5,tt0042116,2015-11-27,2015-11-27,,The Jack Benny Program,https://www.imdb.com/title/tt0042116/,tvSeries,8.4,30,1950,Comedy,1230,1950-10-28,
6,tt0042168,2015-11-27,2015-11-27,,What's My Line?,https://www.imdb.com/title/tt0042168/,tvSeries,8.6,30,1950,"Family, Game-Show",1319,1950-02-02,
7,tt0042173,2015-11-27,2015-11-27,,Your Show of Shows,https://www.imdb.com/title/tt0042173/,tvSeries,8.3,90,1950,Comedy,284,1950-02-25,
8,tt0043194,2015-11-27,2015-11-27,,Dragnet,https://www.imdb.com/title/tt0043194/,tvSeries,7.5,30,1951,"Crime, Drama, Mystery",1791,1951-12-16,
9,tt0043208,2015-11-27,2015-11-27,,I Love Lucy,https://www.imdb.com/title/tt0043208/,tvSeries,8.4,30,1951,"Comedy, Family",22078,1951-10-15,
10,tt0256573,2015-11-27,2015-11-27,,Sua Vida Me Pertence,https://www.imdb.com/title/tt0256573/,tvSeries,,,1951,,,1951-12-21,
11,tt0049993,2015-11-27,2015-11-27,,Bandstand,https://www.imdb.com/title/tt0049993/,tvSeries,7.7,90,1952,"Music, Talk-Show",288,1952-10-13,
12,tt0044296,2015-11-27,2015-11-27,,This Is Your Life,https://www.imdb.com/title/tt0044296/,tvSeries,7.5,30,1950,"Biography, Family, Reality-TV",209,1952-10-01,
13,tt0044231,2015-11-27,2015-11-27,,Adventures of Superman,https://www.imdb.com/title/tt0044231/,tvSeries,7.7,30,1952,"Action, Adventure, Crime, Family, Sci-Fi",3354,1952-09-19,
14,tt0337799,2015-11-27,2015-11-27,,The 25th Annual Academy Awards,https://www.imdb.com/title/tt0337799/,tvSpecial,6.9,,1953,News,120,1953-03-19,Bill Bennington
15,tt0045436,2015-11-27,2015-11-27,,The Quatermass Experiment,https://www.imdb.com/title/tt0045436/,tvSeries,7.2,30,1953,"Drama, Sci-Fi, Horror, Thriller",297,1953-07-18,
16,tt0480300,2015-11-27,2015-11-27,,The Good Old Days,https://www.imdb.com/title/tt0480300/,tvSeries,6.7,60,1953,"Comedy, Musical",65,1953-07-20,
17,tt0045410,2015-11-27,2015-11-27,,Make Room for Daddy,https://www.imdb.com/title/tt0045410/,tvSeries,7.2,30,1953,"Comedy, Family",891,1953-09-29,
18,tt0240262,2015-11-27,2015-11-27,,Fabian of the Yard,https://www.imdb.com/title/tt0240262/,tvSeries,8.1,30,1954,"Crime, Drama",16,1954-11-13,
19,tt0046600,2015-11-27,2015-11-27,,Father Knows Best,https://www.imdb.com/title/tt0046600/,tvSeries,7.4,30,1954,"Comedy, Family",1912,1954-10-03,
20,tt0050030,2015-11-27,2015-11-27,,Tonight Starring Jack Paar,https://www.imdb.com/title/tt0050030/,tvSeries,8.3,105,1957,"Comedy, Family, Talk-Show",199,1957-07-29,
21,tt0047708,2015-11-27,2015-11-27,,Alfred Hitchcock Presents,https://www.imdb.com/title/tt0047708/,tvSeries,8.5,25,1955,"Comedy, Crime, Drama, Horror, Mystery, Thriller",14855,1955-10-02,
22,tt0047728,2015-11-27,2015-11-27,,Dixon of Dock Green,https://www.imdb.com/title/tt0047728/,tvSeries,6.7,45,1955,"Crime, Drama",209,1955-07-09,
23,tt0047736,2015-11-27,2015-11-27,,Gunsmoke,https://www.imdb.com/title/tt0047736/,tvSeries,7.9,60,1955,Western,5117,1955-09-10,
24,tt0047706,2015-11-27,2015-11-27,,The Adventures of Robin Hood,https://www.imdb.com/title/tt0047706/,tvSeries,7.7,30,1955,"Action, Adventure, Family",684,1955-09-26,
25,tt0386156,2015-11-27,2015-11-27,,The Benny Hill Show,https://www.imdb.com/title/tt0386156/,tvSeries,7.7,60,1955,Comedy,805,1955-01-15,
26,tt0042114,2015-11-27,2015-11-27,,The Honeymooners,https://www.imdb.com/title/tt0042114/,tvSeries,8.6,30,1955,"Comedy, Family",4695,1955-10-01,
27,tt0155452,2015-11-27,2015-11-27,,Was bin ich?,https://www.imdb.com/title/tt0155452/,tvSeries,8.2,,1955,Game-Show,57,1955-01-02,
28,tt0047763,2015-11-27,2015-11-27,,The Phil Silvers Show,https://www.imdb.com/title/tt0047763/,tvSeries,8.4,30,1955,"Comedy, Family",1370,1955-09-20,
29,tt0390988,2015-11-27,2015-11-27,,Concours eurovision,https://www.imdb.com/title/tt0390988/,tvSpecial,,,1956,Music,,,
30,tt0307789,2015-11-27,2015-11-27,,The Nat King Cole Show,https://www.imdb.com/title/tt0307789/,tvSeries,8.3,15,1956,Music,51,1956-11-05,
31,tt0124703,2015-11-27,2015-11-27,,Hancock's Half Hour,https://www.imdb.com/title/tt0124703/,tvSeries,8.3,30,1956,Comedy,472,1956-07-06,
32,tt0048894,2015-11-27,2015-11-27,,The Price Is Right,https://www.imdb.com/title/tt0048894/,tvSeries,7.2,30,1956,"Family, Game-Show",205,1956-11-26,
33,tt0159870,2015-11-27,2015-11-27,,Emergency-Ward 10,https://www.imdb.com/title/tt0159870/,tvSeries,6.2,30,1957,Drama,41,1957-02-19,
34,tt2689914,2015-11-27,2015-11-27,,Il musichiere,https://www.imdb.com/title/tt2689914/,tvSeries,5.6,,1957,Game-Show,5,1957-12-07,
35,tt0050032,2015-11-27,2015-11-27,,Leave It to Beaver,https://www.imdb.com/title/tt0050032/,tvSeries,7.5,30,1957,"Comedy, Family",6783,1957-04-23,
36,tt0050037,2015-11-27,2015-11-27,,Maverick,https://www.imdb.com/title/tt0050037/,tvSeries,8.0,60,1957,"Comedy, Western",2605,1957-09-22,
37,tt0050051,2015-11-27,2015-11-27,,Perry Mason,https://www.imdb.com/title/tt0050051/,tvSeries,8.2,60,1957,"Crime, Drama, Mystery",5218,1957-09-21,
38,tt0149416,2015-11-27,2015-11-27,,The Army Game,https://www.imdb.com/title/tt0149416/,tvSeries,7.6,30,1957,Comedy,72,1957-06-19,
39,tt0050079,2015-11-27,2015-11-27,,Zorro,https://www.imdb.com/title/tt0050079/,tvSeries,8.2,30,1957,"Action, Adventure, Comedy, Drama, Family, Western",3138,1957-10-10,
40,tt0050073,2015-11-27,2015-11-27,,Wagon Train,https://www.imdb.com/title/tt0050073/,tvSeries,7.4,75,1957,Western,2360,1957-09-18,
41,tt0262990,2015-11-27,2015-11-27,,The Sky at Night,https://www.imdb.com/title/tt0262990/,tvSeries,8.3,20,1957,Documentary,307,1957-04-24,
42,tt0296464,2015-11-27,2015-11-27,,Zum blauen Bock,https://www.imdb.com/title/tt0296464/,tvSeries,6.1,,1957,"Comedy, Family, Game-Show, Music, Talk-Show",35,1957-08-03,
43,tt2724512,2015-11-27,2015-11-27,,Canzonissima,https://www.imdb.com/title/tt2724512/,tvSeries,6.4,120,1958,Music,8,1958-10-22,
